ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
MMM,3M Company,3M Company,Industrial Products,"3M Co is a diversified technology company. It manufactures a diverse array of industrial and consumer products. Its business segments are Industrial, Safety and Graphics, Health Care, Electronics and Energy, and Consumer.",http://www.3m.com,MMM.png,Michael F. Roman,New York Stock Exchange,1.15E+11,Industrials,Industrials,Diversified Industrials,Industrial Products 
HON,Honeywell International Inc.,Honeywell International,Industrial Products,"Honeywell International Inc is a diversified technology and manufacturing company serving customers with aerospace products and services, energy efficient products and solutions, specialty chemicals, electronic, refining and petrochemicals.",http://www.honeywell.com,HON.png,Darius Adamczyk,New York Stock Exchange,1.10E+11,Industrials,Industrials,Diversified Industrials,Industrial Products 
GE,General Electric Company,General Electric Company,Industrial Products,"General Electric Co is a digital industrial company. It operates in various segments, including power and water, oil and gas, energy management, aviation, healthcare, transportation, appliances and lighting, and more.",http://www.ge.com,GE.png,H. Lawrence Culp,New York Stock Exchange,88807754150,Industrials,Industrials,Diversified Industrials,Industrial Products 
ITW,Illinois Tool Works Inc.,Illinois Tool Works,Industrial Products,Illinois Tool Works Inc manufactures diversified range of industrial products and equipment. Its segments are Automotive OEM; Food Equipment; Test & Measurement and Electronics; Welding; Polymers & Fluids; Construction Products; and Specialty Products.,http://www.itw.com,ITW.png,E. Scott Santi,New York Stock Exchange,45241133298,Industrials,Industrials,Diversified Industrials,Industrial Products 
EMR,Emerson Electric Company,Emerson Electric Company,Industrial Products,"Emerson Electric Co is engaged in designing and supplying products and technology, and delivering engineering services and solutions in industrial, commercial and consumer markets.",http://www.emerson.com,EMR.png,David N. Farr,New York Stock Exchange,42154194438,Industrials,Industrials,Diversified Industrials,Industrial Products 
ABB,ABB Ltd,ABB,Industrial Products,"ABB Ltd is a power and automation systems provider that are designed to boost industrial productivity, increase power grid reliability and enhance energy efficiency. The company works closely with utility, industry, transport and infrastructure customers.",http://www.abb.com,ABB.png,Ulrich Spiesshofer,New York Stock Exchange,41399626029,Industrials,Industrials,Diversified Industrials,Industrial Products 
ETN,Eaton Corporation PLC,Eaton PLC,Industrial Products,"Eaton Corp PLC is a power management company. It provides energy-efficient solutions that help its customers effectively manage electrical, hydraulic and mechanical power. Eaton's products include UPS systems, cylinders, circuit breakers, among others.",http://www.eaton.com,ETN.png,Craig Arnold,New York Stock Exchange,33415140000,Industrials,Industrials,Diversified Industrials,Industrial Products 
CAJ,Canon Inc. American Depositary Shares,Canon American Depositary Shares,Industrial Products,"Canon Inc is a provider of business equipment. It manufactures office multi function devices, plain paper copying machines, laser printers, inkjet printers, cameras, diagnostic equipment and lithography equipment.",http://www.canon.co.jp,,Fujio Mitarai,New York Stock Exchange,31280412601,Industrials,Industrials,Business Equipment,Industrial Products 
ROP,Roper Technologies Inc.,Roper,Industrial Products,"Roper Technologies Inc is a diversified technology company. The firm offers industrial pumps, water meters, sensors, valves, control systems, highway tolling systems and SaaS brokerage for freight and food markets, digital imaging, and software systems.",http://www.ropertech.com,ROP.png,L. Neil Hunn,New York Stock Exchange,30724135181,Industrials,Industrials,Diversified Industrials,Industrial Products 
IR,Ingersoll-Rand plc (Ireland),Ingersoll-Rand plc (Ireland),Industrial Products,"Ingersoll-Rand PLC is a diversified company. It provides products, services and solutions to enhance the quality and comfort of air in homes and buildings, transport and protect food and perishables, and increase industrial productivity and efficiency.",http://www.ingersollrand.com,IR.png,Michael W. Lamach,New York Stock Exchange,24730218412,Industrials,Industrials,Diversified Industrials,Industrial Products 
CMI,Cummins Inc.,Cummins,Industrial Products,"Cummins Inc designs, manufactures, distributes, and services diesel and natural gas engines and engine-related component products, including filtration, after treatment, turbochargers, fuel systems, controls systems, air handling systems, and others.",http://www.cummins.com,CMI.png,N. Thomas Linebarger,New York Stock Exchange,23883493821,Industrials,Industrials,Diversified Industrials,Industrial Products 
PH,Parker-Hannifin Corporation,Parker-Hannifin,Industrial Products,Parker Hannifin Corp is a diversified manufacturer of motion and control technologies and systems. It operates in two reportable business segments namely Diversified Industrial and Aerospace Systems.,http://www.phstock.com,,Thomas L. Williams,New York Stock Exchange,21960645344,Industrials,Industrials,Diversified Industrials,Industrial Products 
ROK,Rockwell Automation Inc.,Rockwell Automation,Industrial Products,Rockwell Automation Inc engages in providing industrial automation and information solutions to make its customers more productive and the world more sustainable. It operates in two segments: architecture and software and control products and solutions.,http://www.rockwellautomation.com,ROK.png,Blake D. Moret,New York Stock Exchange,20351164772,Industrials,Industrials,Diversified Industrials,Industrial Products 
SWK,Stanley Black & Decker Inc.,Stanley Black & Decker,Industrial Products,"Stanley Black & Decker Inc provides hand tools, power tools and accessories, mechanical access solutions, electronic security and monitoring systems, healthcare solutions, engineered fastening systems and products for various industrial applications.",http://www.stanleyblackanddecker.com,SWK.png,James M. Loree,New York Stock Exchange,19348532140,Industrials,Industrials,Tools & Accessories,Industrial Products 
AME,AMETEK Inc.,AMETEK,Industrial Products,"AMETEK Inc is a manufacturer of electronic instruments and electromechanical devices with operations in North America, Europe, Asia and South America.",http://www.ametek.com,AME.png,David A. Zapico,New York Stock Exchange,17106947136,Industrials,Industrials,Diversified Industrials,Industrial Products 
DOV,Dover Corporation,Dover,Industrial Products,"Dover Corp is a multi-business operator in North America. It has footprint in engineered systems, energy, fluids and refrigeration and food equipment businesses.",http://www.dovercorporation.com,DOV.png,Richard J. Tobin,New York Stock Exchange,12773379113,Industrials,Industrials,Diversified Industrials,Industrial Products 
XYL,Xylem Inc. New,Xylem New,Industrial Products,"Xylem Inc is an industrial technology company. It provides equipment, technology, and services to transport, treat, test, and efficiently use water in public utilities, residential and commercial buildings, and industrial and agricultural settings.",http://www.xyleminc.com,XYL.png,Patrick K. Decker,New York Stock Exchange,12650880000,Industrials,Industrials,Diversified Industrials,Industrial Products 
IEX,IDEX Corporation,IDEX,Industrial Products,"IDEX Corp produces and distributes flow meters, injectors, and other fluid-handling pump modules. Its business segments are Fluid and Metering Technologies, Health and Science Technologies and Fire and Safety/Diversified Products.",http://www.idexcorp.com,IEX.png,Andrew K. Silvernail,New York Stock Exchange,10595913209,Industrials,Industrials,Diversified Industrials,Industrial Products 
ZBRA,Zebra Technologies Corporation,Zebra,Industrial Products,"Zebra Technologies Corp develops products for the automatic identification and data capture market. Its products find use in mobiles, computers, barcode scanners, RFID readers, specialty printers.",http://www.zebra.com,ZBRA.png,Anders Gustafsson,Nasdaq Global Select,9537390279,Industrials,Industrials,Diversified Industrials,Industrial Products 
LII,Lennox International Inc.,Lennox International,Industrial Products,"Lennox International Inc through its subsidiaries is a provider of climate control solutions. It designs, manufactures and markets products for heating, ventilation, air conditioning and refrigeration markets.",http://www.lennoxinternational.com,LII.png,Todd M. Bluedorn,New York Stock Exchange,9314301158,Industrials,Industrials,Diversified Industrials,Industrial Products 
