ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
BA,The Boeing Company,The Boeing Company,Aerospace & Defense,"Boeing Co designs, develops, manufactures, sells, services and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems and services.",http://www.boeing.com,BA.png,Dennis A. Muilenburg,New York Stock Exchange,2.25E+11,Industrials,Industrials,Aerospace & Defense, 
UTX,United Technologies Corporation,United,Aerospace & Defense,United Technologies Corp is a diversified industrial conglomerate. It provides high technology products and services to the building systems and aerospace industries.,http://www.utc.com,UTX.png,Gregory J. Hayes,New York Stock Exchange,1.04E+11,Industrials,Industrials,Aerospace & Defense, 
LMT,Lockheed Martin Corporation,Lockheed Martin,Aerospace & Defense,"Lockheed Martin Corp is a security and aerospace company engaged in the research, design, development, manufacture, integration, and sustainment of technology systems, products, and services.",http://www.lockheedmartin.com,LMT.png,Marillyn A. Hewson,New York Stock Exchange,84862670400,Industrials,Industrials,Aerospace & Defense, 
GD,General Dynamics Corporation,General Dynamics,Aerospace & Defense,"General Dynamics Corp is an aerospace and defense company. It offers products and services in business aviation including combat vehicles, weapons systems and munitions, shipbuilding, and communication and information technology services and solutions.",http://www.generaldynamics.com,GD.png,Phebe N. Novakovic,New York Stock Exchange,50409583797,Industrials,Industrials,Aerospace & Defense, 
RTN,Raytheon Company,Raytheon Company,Aerospace & Defense,"Raytheon Co offers contractual services to the US defense sector. It operates through five segments: Integrated Defense Systems, Intelligence and Information, Missile Systems, Space and Airborne Systems, and Forcepoint.",http://www.raytheon.com,RTN.png,Thomas Kennedy,New York Stock Exchange,49923343110,Industrials,Industrials,Aerospace & Defense, 
NOC,Northrop Grumman Corporation,Northrop Grumman,Aerospace & Defense,"Northrop Grumman Corp offers portfolio of capabilities and technologies to deliver products, systems and solutions for applications to government and commercial customers. It provides products, systems and solutions in autonomous systems.",http://www.northropgrumman.com,NOC.png,Kathy J. Warden,New York Stock Exchange,47015592064,Industrials,Industrials,Aerospace & Defense, 
TDG,Transdigm Group Incorporated Inc.,Transdigm Incorporated,Aerospace & Defense,"TransDigm Group Inc is a designer, producer and supplier of engineered aircraft components for use on commercial and military aircraft in service.",http://www.transdigm.com,TDG.png,Kevin M. Stein,New York Stock Exchange,22137850441,Industrials,Industrials,Aerospace & Defense, 
LLL,L3 Technologies Inc.,L3,Aerospace & Defense,"L3 Technologies Inc is a provider of various communication and electronic systems and products used on military, homeland security and commercial platforms. It is also a contractor in aerospace systems, security and detection systems, and pilot training.",http://www.l3t.com,LLL.png,Christopher E. Kubasik,New York Stock Exchange,15697013522,Industrials,Industrials,Aerospace & Defense, 
TXT,Textron Inc.,Textron,Aerospace & Defense,"Textron Inc is engaged in the aerospace industry. Its primary products include aircraft and related defense equipment. Its segments include Textron Aviation, Bell, Textron Systems and Industrial, and Finance.",http://www.textron.com,TXT.png,Scott C. Donnelly,New York Stock Exchange,13132068643,Industrials,Industrials,Aerospace & Defense, 
HEI,Heico Corporation,Heico,Aerospace & Defense,"Heico Corp through its subsidiaries is engaged in manufacturing electronic equipment for the aviation, defense, space, medical, telecommunications and electronics industries throughout the United States and internationally.",http://www.heico.com,HEI.png,Laurans A. Mendelson,New York Stock Exchange,11475912597,Industrials,Industrials,Aerospace & Defense, 
