ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
COP,ConocoPhillips,ConocoPhillips,Oil & Gas - E&P,ConocoPhillips operates in the oil & gas sector. Its primary business involves exploration and production of crude oil and natural gas.,http://www.conocophillips.com,COP.png,Ryan M. Lance,New York Stock Exchange,79604745570,Energy,Energy,Oil & Gas E&P,Oil & Gas - E&P 
EOG,EOG Resources Inc.,EOG Resources,Oil & Gas - E&P,"EOG Resources Inc explores, develops, produces and markets crude oil and natural gas in the USA, Trinidad and Tobago, United Kingdom, China, Argentina and, from time to time, select other international areas.",http://www.eogresources.com,EOG.png,William Thomas,New York Stock Exchange,57632332729,Energy,Energy,Oil & Gas E&P,Oil & Gas - E&P 
OXY,Occidental Petroleum Corporation,Occidental Petroleum,Oil & Gas - E&P,"Occidental Petroleum Corp is in the business of exploration and production of oil and gas. It also processes, gathers, transports, stores, purchases and markets oil, condensate, natural gas liquids, natural gas.",http://www.oxy.com,OXY.png,Vicki A. Hollub,New York Stock Exchange,51024652890,Energy,Energy,Oil & Gas E&P,Oil & Gas - E&P 
CNQ,Canadian Natural Resources Limited,Canadian Natural Resources Limited,Oil & Gas - E&P,"Canadian Natural Resources Ltd is an oil and natural gas producers in Western Canada. Its portfolio includes light and medium oil, heavy oil, bitumen, synthetic oil, natural gas liquids, and natural gas.",http://www.cnrl.com,CNQ.png,,New York Stock Exchange,32633367859,Energy,Energy,Oil & Gas E&P,Oil & Gas - E&P 
APC,Anadarko Petroleum Corporation,Anadarko Petroleum,Oil & Gas - E&P,Anadarko Petroleum Corp is engaged in the exploration and production of oil and natural gas. Its asset base includes conventional and unconventional properties in the U.S. and deep-water oil and gas projects in the Gulf of Mexico and Africa.,http://www.anadarko.com,APC.png,R.A. Walker,New York Stock Exchange,24775320715,Energy,Energy,Oil & Gas E&P,Oil & Gas - E&P 
PXD,Pioneer Natural Resources Company,Pioneer Natural Resources Company,Oil & Gas - E&P,Pioneer Natural Resources Co is an independent oil and gas exploration and production company with operations in the United States. Its focus includes the Permian Basin and Eagle Ford Shale regions of Texas.,http://www.pxd.com,PXD.png,Timothy L. Dove,New York Stock Exchange,24456195909,Energy,Energy,Oil & Gas E&P,Oil & Gas - E&P 
CXO,Concho Resources Inc.,Concho Resources,Oil & Gas - E&P,"Concho Resources Inc is an oil and natural gas company. It is engaged in the acquisition, development, exploitation and exploration of producing oil and natural gas properties. It operates in the Delaware Basin.",http://www.concho.com,CXO.png,Timothy A. Leach,New York Stock Exchange,24026018396,Energy,Energy,Oil & Gas E&P,Oil & Gas - E&P 
CLR,Continental Resources Inc.,Continental Resources,Oil & Gas - E&P,"Continental Resources Inc is an independent crude oil and natural gas exploration, and production company. The company operates primarily in the Williston Basin and in southern Oklahoma.",http://www.contres.com,CLR.png,Harold G. Hamm,New York Stock Exchange,17725410692,Energy,Energy,Oil & Gas E&P,Oil & Gas - E&P 
FANG,Diamondback Energy Inc.,Diamondback Energy,Oil & Gas - E&P,"Diamondback Energy Inc is an independent oil and gas producer in the United States. The company engages in acquisition, development, exploration and exploitation of unconventional, onshore oil and natural gas reserves in the Permian Basin in West Texas.",http://www.diamondbackenergy.com,,Travis D. Stice,Nasdaq Global Select,17155110587,Energy,Energy,Oil & Gas E&P,Oil & Gas - E&P 
HES,Hess Corporation,Hess,Oil & Gas - E&P,"Hess Corp is an oil and gas company involved in the exploration, development, production, transportation, purchase and sale of crude oil, natural gas liquids, and natural gas with production operations.",http://www.hess.com,HES.png,John B. Hess,New York Stock Exchange,16492412081,Energy,Energy,Oil & Gas E&P,Oil & Gas - E&P 
