ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
ENLC,EnLink Midstream LLC representing Limited Partner Interests,EnLink Midstream LLC representing Limited Partner Interests,Oil & Gas - Midstream,"EnLink Midstream LLC is an integrated midstream company. The company, through its subsidiaries, is engaged in the gathering, transmission, processing, fractionation, brine services and marketing, to producers of natural gas, crude oil and condens.",http://www.enlink.com,,Michael J. Garberding,New York Stock Exchange,5429081109,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
DCP,DCP Midstream LP,DCP Midstream,Oil & Gas - Midstream,"DCP Midstream LP is a midstream master limited partnership. It is engaged in gathering, compressing, treating, processing, transporting, storing and selling natural gas, Natural Gas Liquids and condensate.",http://www.dcpmidstream.com,DCP.png,Wouter Van Kempen,New York Stock Exchange,4806863181,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
AM,Antero Midstream Partners LP representing limited partner interests,Antero Midstream Partners representing limited partner interests,Oil & Gas - Midstream,"Antero Midstream Partners LP is engaged in providing midstream services to Antero under a long-term, fixed-fee contract. Its assets consist of gathering pipelines and compressor stations.",http://www.anteromidstream.com,,Paul M. Rady,New York Stock Exchange,4784411954,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
BPL,Buckeye Partners L.P.,Buckeye Partners,Oil & Gas - Midstream,"Buckeye Partners LP is a US-based company which owns and operates a diversified network of integrated assets providing midstream logistic solutions, consisting of the transportation, storage, and marketing of liquid petroleum products.",http://www.buckeye.com,,Clark C. Smith,New York Stock Exchange,4729779890,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
SHLX,Shell Midstream Partners L.P. representing Limited Partner Interests,Shell Midstream Partners representing Limited Partner Interests,Oil & Gas - Midstream,"Shell Midstream Partners LP owns, operates, develop and acquires pipelines and other midstream assets.",http://www.shellmidstreampartners.com,,Kevin M. Nichols,New York Stock Exchange,4348662905,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
PAGP,Plains Group Holdings L.P. Class A Shares representing limited partner interests,Plains Shares representing limited partner interests,Oil & Gas - Midstream,"Plains GP Holdings LP owns and operates midstream energy infrastructure and provides logistics services for crude oil, natural gas liquids, natural gas and refined products. Its business segments are Transportation, Facilities, and Supply and Logistics.",http://www.plainsallamerican.com,PAGP.png,Wilfred C.W. Chiang,New York Stock Exchange,3682980565,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
HEP,Holly Energy Partners L.P.,Holly Energy Partners,Oil & Gas - Midstream,"Holly Energy Partners LP is engaged in operating a system of petroleum product and crude oil pipelines, storage tanks, distribution terminals and loading rack facilities.",http://www.hollyenergy.com,,,New York Stock Exchange,3125247558,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
NS,Nustar Energy L.P.,Nustar Energy,Oil & Gas - Midstream,"NuStar Energy LP is engaged in refining, marketing and operating petroleum product terminals and petroleum liquids pipelines.",http://www.nustarenergy.com,NS.png,Bradley C. Barron,New York Stock Exchange,2848479052,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
ALTM,Altus Midstream Company,Altus Midstream Company,Oil & Gas - Midstream,"Kayne Anderson Acquisition Corp is a blank check company. The Company was formed for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination.",http://www.altusmidstream.com,,Clay Bretches,NASDAQ Capital Market,2758649799,Energy,Industrials,Conglomerates,Energy 
GEL,Genesis Energy L.P.,Genesis Energy,Oil & Gas - Midstream,"Genesis Energy LP provides onshore pipeline transportation of crude oil and carbon dioxide, offshore pipeline transportation of crude oil in the Gulf of Mexico, refinery services, marine transportation, and supply and logistics service.",http://www.genesisenergy.com,GEL.png,Grant E. Sims,New York Stock Exchange,2592550461,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
AMGP,Antero Midstream GP LP of Beneficial Interests,Antero Midstream GP of Beneficial Interests,Oil & Gas - Midstream,"Antero Midstream GP LP owns, operates and develops midstream energy infrastructure primarily to service Antero Resources' production and completion activity in the Appalachian Basin's Marcellus Shale and Utica Shale located in West Virginia and Ohio.",http://www.anteromidstream.com,,Paul M. Rady,New York Stock Exchange,2543981643,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
CEQP,Crestwood Equity Partners LP,Crestwood Equity Partners,Oil & Gas - Midstream,"Crestwood Equity Partners LP develops, acquires, owns or controls, and operates fee-based assets and operations within the energy midstream sector.",http://www.crestwoodlp.com,,Robert G. Phillips,New York Stock Exchange,2333172769,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
TCP,TC PipeLines LP representing Limited Partner Interests,TC PipeLines representing Limited Partner Interests,Oil & Gas - Midstream,"TC Pipelines LP acquires, owns and participates in the management of energy infrastructure assets in North America. Its pipeline systems transport natural gas in the United States. It earns revenue by charging rates for transporting natural gas.",http://www.tcpipelineslp.com,,,New York Stock Exchange,2322838945,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
BPMP,BP Midstream Partners LP representing Limited Partner Interests,BP Midstream Partners representing Limited Partner Interests,Oil & Gas - Midstream,"BP Midstream Partners LP owns, operates, develops and acquires pipelines and other midstream assets.",http://www.bpmidstreampartners.com,,Robert P. Zinsmeister,New York Stock Exchange,1691729780,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
NBLX,Noble Midstream Partners LP Representing Limited Partner Interests,Noble Midstream Partners Representing Limited Partner Interests,Oil & Gas - Midstream,"Noble Midstream Partners LP provides crude oil, natural gas, and water-related midstream services through long-term, fixed-fee contracts. The company's operating segments include the Gathering system, Fresh water Delivery and Investment and others.",http://www.nblmidstream.com,NBLX.png,Terry R. Gerhart,New York Stock Exchange,1309318840,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
SEMG,Semgroup Corporation Class A,Semgroup,Oil & Gas - Midstream,"Semgroup Corp provides gathering, transportation, storage, distribution, marketing and other midstream services to independent producers, refiners of petroleum products and other market participants in the Midwest and Rocky Mountain regions.",http://www.semgroupcorp.com,SEMG.png,Carlin G. Conner,New York Stock Exchange,1254622445,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
HESM,Hess Midstream Partners LP Representing Limited Partner Interests,Hess Midstream Partners Representing Limited Partner Interests,Oil & Gas - Midstream,"Hess Midstream Partners LP owns, operates, develops and acquires a diverse set of midstream assets to provide services to Hess and third-party customers. Its segments are Gathering, Processing and Storage and Terminaling and Export.",http://www.hessmidstream.com,,John B. Hess,New York Stock Exchange,1194683635,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
GLOP,GasLog Partners LP representing limited partnership interests,GasLog Partners representing limited partnership interests,Oil & Gas - Midstream,"GasLog Partners LP owns, operates & acquires liquefied natural gas (LNG) carriers engaged in LNG transportation under long-term charters. Its fleet consists of approximately five LNG carriers, including three vessels with modern tri-fuel diesel-electric.",http://www.gaslogmlp.com,GLOP.png,Andrew J. Orekar,New York Stock Exchange,1046745419,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
SMLP,Summit Midstream Partners LP Representing Limited Partner Interests,Summit Midstream Partners Representing Limited Partner Interests,Oil & Gas - Midstream,"Summit Midstream Partners LP is engaged in developing, owning and operating midstream energy infrastructure assets that are strategically located in the core producing areas of unconventional resource basins,shale formations in the continental USA.",http://www.summitmidstream.com,,,New York Stock Exchange,1034919851,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
CNXM,CNX Midstream Partners LP representing limited partner interests,CNX Midstream Partners representing limited partner interests,Oil & Gas - Midstream,"CNX Midstream Partners LP owns, operates, develops and acquires natural gas gathering and other midstream energy assets in the Marcellus Shale in Pennsylvania and West Virginia.",http://www.conemidstream.com,CNXM.png,Nicholas J. DeIuliis,New York Stock Exchange,1018234816,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
PBFX,PBF Logistics LP representing limited partner interests,PBF Logistics representing limited partner interests,Oil & Gas - Midstream,"PBF Logistics LP is engaged in the receiving, handling and transferring of crude oil and the receipt, storage and delivery of crude oil, refined products and intermediates.",http://www.pbflogistics.com,,Thomas J. Nimbley,New York Stock Exchange,998998728,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
DKL,Delek Logistics Partners L.P. representing Limited Partner Interests,Delek Logistics Partners representing Limited Partner Interests,Oil & Gas - Midstream,"Delek Logistics Partners LP owns and operates logistics and marketing assets for crude oil, and intermediate and refined products. It operates in two segments, Pipelines and Transportation, and Wholesale Marketing and Terminalling.",http://www.deleklogistics.com,,Ezra Uzi Yemin,New York Stock Exchange,711851440,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
TLP,TransMontaigne Partners L.P. Transmontaigne Partners L.P. representing limited partner interests,TransMontaigne Partners Transmontaigne Partners representing limited partner interests,Oil & Gas - Midstream,"TransMontaigne Partners LP is an oil pipeline and terminal company. It engages in terminaling and transporting refined petroleum products, crude oil, chemicals, and fertilizer, in the Southeast and Gulf Coast and along the Mississippi and Ohio rivers.",http://www.transmontaignepartners.com,,Frederick W. Boutin,New York Stock Exchange,663121966,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
GLP,Global Partners LP representing Limited Partner Interests,Global Partners representing Limited Partner Interests,Oil & Gas - Midstream,"Global Partners LP is a midstream logistics and marketing company. It is engaged in the purchasing, selling and logistics of transporting petroleum and related products, including domestic and Canadian crude oil, gasoline and gasoline blendstocks.",http://www.globalp.com,GLP.png,Eric Slifka,New York Stock Exchange,644555874,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
OMP,Oasis Midstream Partners LP Representing Limited Partner Interests,Oasis Midstream Partners Representing Limited Partner Interests,Oil & Gas - Midstream,"Oasis Midstream Partners LP owns, develops, operates and acquires a diversified portfolio of midstream assets in North America that are integral to the oil and natural gas operations of Oasis Petroleum.",http://www.oasismidstream.com,,Taylor Reid,New York Stock Exchange,638423591,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
MMLP,Martin Midstream Partners L.P.,Martin Midstream Partners,Oil & Gas - Midstream,Martin Midstream Partners LP provides terminalling and storage services for petroleum products and by-products; natural gas services; sulfur and sulfur-based products and marine transportation services.,http://www.martinmidstream.com,,Ruben S. Martin,Nasdaq Global Select,552362754,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
SGU,Star Group L.P.,Star,Oil & Gas - Midstream,Star Group LP is a full service energy provider. It specializes in the sale of home heating products and services to residential and commercial customers. It also sells heating and air conditioning equipment.,http://www.stargrouplp.com,,Daniel P. Donovan,New York Stock Exchange,485877160,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
GPP,Green Plains Partners LP,Green Plains Partners,Oil & Gas - Midstream,"Green Plains Partners LP is a mid-stream oil and gas company in the United States. It acquires revenues for the storage and transportation of ethanol on behalf of its parent company, Green Plains Inc.",http://www.greenplainspartners.com,,Todd A. Becker,NASDAQ Global Market,482549334,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
AMID,American Midstream Partners LP representing Limited Partner Interests,American Midstream Partners representing Limited Partner Interests,Oil & Gas - Midstream,"American Midstream Partners LP is the United States-based natural gas company. It owns, operates, develops and acquires a portfolio of natural gas midstream energy assets.",http://www.americanmidstream.com,AMID.png,Lynn L. Bourdon,New York Stock Exchange,210421123,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
BKEP,Blueknight Energy Partners L.P. L.L.C.,Blueknight Energy Partners L.L.C.,Oil & Gas - Midstream,"Blueknight Energy Partners LP provides terminalling, gathering, transportation, and storage services for companies that produce, distribute, and market crude oil and liquid asphalt cement.",http://www.bkep.com,BKEP.png,Mark A. Hurley,NASDAQ Global Market,85230798,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
SNMP,Sanchez Midstream Partners LP,Sanchez Midstream Partners,Oil & Gas - Midstream,"Sanchez Midstream Partners LP is a United States based company, focused on the acquisition, development, ownership and operation of midstream and other energy producing assets.",http://www.sanchezmidstream.com,,Gerald F. Willinger,NYSE American,44195768,Energy,Energy,Oil & Gas Midstream,Oil & Gas - Midstream 
