ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
RELX,RELX PLC PLC American Depositary Shares (Each representing One),RELX PLC PLC American Depositary Shares (Each representing One),Publishing,"RELX PLC is an information content provider in the United Kingdom. Its published content is used by various organisations such as scientific, technical, and medical. The company generates its revenue from Scientific, Technical and Medical segment.",http://www.relx.com,RELX.png,Erik Engstrom,New York Stock Exchange,44217929070,Consumer Cyclical,Consumer Cyclical,Publishing, 
PSO,Pearson Plc,Pearson Plc,Publishing,"Pearson PLC is a content publisher. Its products comprise of educational courseware, assessments and services, and consumer publishing.",http://www.pearson.com,PSO.png,John J Fallon,New York Stock Exchange,9501938572,Consumer Cyclical,Consumer Cyclical,Publishing, 
NYT,New York Times Company (The),New York Times Company (The),Publishing,"New York Times Co is a publishing service provider. Its activities include creating, collecting and distributing news and information digitally and through newspapers.",http://www.nytco.com,NYT.png,Mark Thompson,New York Stock Exchange,4470147846,Consumer Cyclical,Consumer Cyclical,Publishing, 
JW.A,John Wiley & Sons Inc.,John Wiley & Sons,Publishing,"John Wiley & Sons Inc is a content publisher having its major market in the United States. Among its products are of academic journals, books and online education program management solutions.",http://www.wiley.com,JW.A.png,Brian A. Napack,New York Stock Exchange,2575652611,Consumer Cyclical,Consumer Cyclical,Publishing, 
MDP,Meredith Corporation,Meredith,Publishing,"Meredith Corp is a media company operating in America. The company focuses on publishing and marketing entertainment content which include home, family, food and lifestyle.",http://www.meredith.com,MDP.png,Thomas Harty,New York Stock Exchange,2424014516,Consumer Cyclical,Consumer Cyclical,Publishing, 
SCHL,Scholastic Corporation,Scholastic,Publishing,"Scholastic Corp is an American publishing and education media company. It focuses on books and educational material for schools, teachers, parents, and children.",http://www.scholastic.com,SCHL.png,Richard Robinson,Nasdaq Global Select,1484695022,Consumer Cyclical,Consumer Cyclical,Publishing, 
GCI,Gannett Co. Inc.,Gannett Co.,Publishing,"Gannett Co., Inc. operates as a multi-platform news and information company. It spreads the news all over the USA and UK through digital, mobile, and print products.",http://www.gannett.com,GCI.png,Robert J. Dickey,New York Stock Exchange,1240810568,Consumer Cyclical,Consumer Cyclical,Publishing, 
NEWM,New Media Investment Group Inc.,New Media Investment,Publishing,"New Media Investment Group Inc owns, operates and invests in local media assets. The company focuses on two categories namely consumers and small to medium-sized businesses.",http://www.newmediainv.com,,Michael E. Reed,New York Stock Exchange,830893211,Consumer Cyclical,Consumer Cyclical,Publishing, 
JW.B,John Wiley & Sons Inc.,John Wiley & Sons,Publishing,"John Wiley & Sons Inc is a content publisher having its major market in the United States. Among its products are of academic journals, books and online education program management solutions.",http://www.wiley.com,JW.B.png,Brian A. Napack,New York Stock Exchange,499892199,Consumer Cyclical,Consumer Cyclical,Publishing, 
TPCO,Tribune Publishing Company,Tribune Publishing Company,Publishing,"Tronc Inc is a multimedia company. It operates in publishing, digital and broadcasting businesses.",http://www.tribpub.com,TPCO.png,Timothy P. Knight,NASDAQ Global Market,395887145,Consumer Cyclical,Consumer Cyclical,Publishing, 
DJCO,Daily Journal Corp. (S.C.),Daily Journal (S.C.),Publishing,Daily Journal Corp publishes newspapers and web sites covering California and Arizona and produces several specialized information services. It also serves as a newspaper representative specializing in public notice advertising.,http://www.dailyjournal.com,DJCO.png,Gerald L. Salzman,NASDAQ Capital Market,309563253,Consumer Cyclical,Consumer Cyclical,Publishing, 
VALU,Value Line Inc.,Value Line,Publishing,"Value Line Inc is a U.S based company. It produces investment periodicals based on underlying research and making available copyright data, including ranking system and other information, to third parties under written agreements.",http://www.valueline.com,VALU.png,Howard A. Brecher,NASDAQ Capital Market,201441254,Consumer Cyclical,Consumer Cyclical,Publishing, 
LEE,Lee Enterprises Incorporated,Lee Enterprises Incorporated,Publishing,"Lee Enterprises Inc is a premier publisher of local news, information and advertising in midsize markets, with 46 daily newspapers and a joint interest in four others, rapidly growing online sites.",http://www.lee.net,LEE.png,Kevin D. Mowbray,New York Stock Exchange,154898807,Consumer Cyclical,Consumer Cyclical,Publishing, 
AHC,A.H. Belo Corporation (TX),A.H. Belo (TX),Publishing,"A H Belo Corp is a local news and information publishing company with commercial printing, distribution and direct mail capabilities, as well as expertise in emerging media and digital marketing.",http://www.ahbelo.com,AHC.png,Robert W. Decherd,New York Stock Exchange,85921626,Consumer Cyclical,Consumer Cyclical,Publishing, 
EDUC,Educational Development Corporation,Educational Development,Publishing,Educational Development Corp is the United States trade publisher of the line of educational children's books produced in the United Kingdom by Usborne Publishing Limited. It has two reportable segments: EDC Publishing and UBAM .,http://www.edcpub.com,,Randall W. White,NASDAQ Global Market,69681521,Consumer Cyclical,Consumer Cyclical,Publishing, 
MNI,McClatchy Company (The),McClatchy Company (The),Publishing,"The McClatchy Co is a news and information publisher of publications such as the Miami Herald, the Kansas City Star, the Sacramento Bee, the Charlotte Observer, the (Raleigh) News and Observer, and the (Fort Worth) Star-Telegram.",http://www.mcclatchy.com,MNI.png,Craig I. Forman,NYSE American,47712019,Consumer Cyclical,Consumer Cyclical,Publishing, 
