ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
NKE,Nike Inc.,Nike,Manufacturing - Apparel & Furniture,"Nike Inc designs, develops and markets footwear, apparel, equipment, and accessory products. It is a seller of athletic footwear and athletic apparel. It sells its products through NIKE-owned in-line and factory retail stores and internet websites.",http://www.nike.com,NKE.png,Mark G. Parker,New York Stock Exchange,1.30E+11,Consumer Cyclical,Consumer Cyclical,Footwear & Accessories,Manufacturing - Apparel & Furniture 
VFC,V.F. Corporation,V.F.,Manufacturing - Apparel & Furniture,"VF Corp owns a large portfolio of lifestyle brands including The North Face, Timberland, Vans, Lee, Wrangler, Nautica, and others. The company offers product into outdoor and action sports, jeanswear, imagewear, and sportswear.",http://www.vfc.com,VFC.png,Steven Rendle,New York Stock Exchange,34055908851,Consumer Cyclical,Consumer Cyclical,Apparel Manufacturing,Manufacturing - Apparel & Furniture 
RL,Ralph Lauren Corporation,Ralph Lauren,Manufacturing - Apparel & Furniture,"Ralph Lauren Corp is a fashion apparels manufacturer that designs and distribute lifestyle products including apparel, accessories, home furnishings, and other licensed product categories through department stores, specialty retailers and its own outlets.",http://www.ralphlauren.com,RL.png,Patrice Louvet,New York Stock Exchange,9945372742,Consumer Cyclical,Consumer Cyclical,Apparel Manufacturing,Manufacturing - Apparel & Furniture 
MHK,Mohawk Industries Inc.,Mohawk Industries,Manufacturing - Apparel & Furniture,"Mohawk Industries Inc is a flooring manufacturer that creates products to enhance residential and commercial spaces around the world. The company's business segments are Global Ceramic, Flooring North America and Flooring Rest of the World.",http://www.mohawkind.com,MHK.png,Jeffrey S. Lorberbaum,New York Stock Exchange,9586503694,Consumer Cyclical,Consumer Cyclical,Home Furnishings & Fixtures,Manufacturing - Apparel & Furniture 
UAA,Under Armour Inc. Class A,Under Armour,Manufacturing - Apparel & Furniture,"Under Armour Inc is a developer, marketer and distributor of branded performance apparel, footwear and accessories for men, women and youth. It markets its products under the brand name of Under Armour, Heatgear, Coldgear, and Allseasongear.",http://www.underarmour.com,UAA.png,Kevin A. Plank,New York Stock Exchange,9377583193,Consumer Cyclical,Consumer Cyclical,Apparel Manufacturing,Manufacturing - Apparel & Furniture 
WHR,Whirlpool Corporation,Whirlpool,Manufacturing - Apparel & Furniture,"Whirlpool Corp manufactures home appliances such as washing machine, refrigerators and freezers, and other domestic appliances under Whirlpool, KitchenAid, Maytag, Consul, Brastemp, Amana, Bauknecht, Jenn-Air, Indesit and other major brand names.",http://www.whirlpoolcorp.com,WHR.png,Marc R. Bitzer,New York Stock Exchange,8668800000,Consumer Cyclical,Consumer Cyclical,Home Furnishings & Fixtures,Manufacturing - Apparel & Furniture 
UA,Under Armour Inc. Class C,Under Armour C,Manufacturing - Apparel & Furniture,"Under Armour Inc is a developer, marketer and distributor of branded performance apparel, footwear and accessories for men, women and youth. It markets its products under the brand name of Under Armour, Heatgear, Coldgear, and Allseasongear.",http://www.underarmour.com,UA.png,Kevin A. Plank,New York Stock Exchange,8595183830,Consumer Cyclical,Consumer Cyclical,Apparel Manufacturing,Manufacturing - Apparel & Furniture 
PVH,PVH Corp.,PVH,Manufacturing - Apparel & Furniture,"PVH Corp is apparel company, which designs and markets branded dress shirts, neckwear, sportswear, jeanswear, intimate apparel, swim products, handbags, footwear and other related products. Its brands include Tommy Hilfiger and Calvin Klein.",http://www.pvh.com,PVH.png,Emanuel Chirico,New York Stock Exchange,8421756686,Consumer Cyclical,Consumer Cyclical,Apparel Manufacturing,Manufacturing - Apparel & Furniture 
GIL,Gildan Activewear Inc. Class A Sub. Vot.,Gildan Activewear Sub. Vot.,Manufacturing - Apparel & Furniture,"Gildan Activewear Inc is an apparel manufacturer in North America. Its suite of products includes T-shirts, fleece, socks, and underwear. It has markets in the United States, Canada and other regions of the world.",http://www.gildan.com,GIL.png,Glenn J. Chamandy,New York Stock Exchange,7033166647,Consumer Cyclical,Consumer Cyclical,Apparel Manufacturing,Manufacturing - Apparel & Furniture 
CPRI,Capri Holdings Limited,Capri Limited,Manufacturing - Apparel & Furniture,"Michael Kors Holdings Ltd is a designer, marketer, distributor and retailer of women's apparel and accessories and men's apparel. The Company's business consists of retail, wholesale and licensing segments.",http://www.michaelkors.com,,John D. Idol,New York Stock Exchange,6465313057,Consumer Cyclical,Consumer Cyclical,Apparel Manufacturing,Manufacturing - Apparel & Furniture 
