ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
SLB,Schlumberger N.V.,Schlumberger N.V.,Oil & Gas - Services,"Schlumberger Ltd is a supplier of products and services to the oil and gas industry. It provides technology for reservoir characterization, drilling, production, and processing to the oil and gas industry.",http://www.slb.com,SLB.png,Paal Kibsgaard,New York Stock Exchange,61825420104,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
HAL,Halliburton Company,Halliburton Company,Oil & Gas - Services,"Halliburton Co is a provider of services and products to the upstream oil and natural gas industry throughout the lifecycle of the reservoir, from locating hydrocarbons and managing geological data, to drilling and formation evaluation.",http://www.halliburton.com,HAL.png,Jeffrey A. Miller,New York Stock Exchange,28252492240,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
BHGE,Baker Hughes a GE company Class A,Baker Hughes GE company,Oil & Gas - Services,"Baker Hughes, a GE Co is a fullstream provider of integrated oilfield products, services, and digital solutions. The company offers the full spectrum of services to oil and gas companies, from upstream to downstream.",https://www.bhge.com,BHGE.png,Lorenzo Simonelli,New York Stock Exchange,27036318851,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
TS,Tenaris S.A. American Depositary Shares,Tenaris S.A. American Depositary Shares,Oil & Gas - Services,Tenaris SA is a global manufacturer of welded steel casing and tubing for oil and gas drilling projects. The company also manufactures various diameter pipes for oil and gas transportation projects and other industrial uses.,http://www.tenaris.com,TS.png,Paolo Rocca,New York Stock Exchange,15004623109,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
NOV,National Oilwell Varco Inc.,National Oilwell Varco,Oil & Gas - Services,"National Oilwell Varco Inc is a provider in the design, manufacture and sale of equipment and components used in oil and gas drilling, completion and production operations, and the provision of oilfield services to the upstream oil and gas industry.",http://www.nov.com,NOV.png,Clay C. Williams,New York Stock Exchange,11575752917,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
FTI,TechnipFMC plc,TechnipFMC plc,Oil & Gas - Services,TechnipFMC PLC is an oil and gas engineering and construction firm. The company owns a large fleet of vessels used to install offshore pipelines. It also provides onshore and offshore services for various projects.,http://www.technipfmc.com,FTI.png,Douglas Pferdehirt,New York Stock Exchange,10587431098,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
CLB,Core Laboratories N.V.,Core Laboratories N.V.,Oil & Gas - Services,"Core Laboratories NV is a provider of proprietary and patented reservoir description, production enhancement & reservoir management services to the oil and gas industry. The company operates in more than 50 countries.",http://www.corelab.com,CLB.png,David M. Demshur,New York Stock Exchange,2995954525,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
APY,Apergy Corporation,Apergy,Oil & Gas - Services,Apergy Corp engages in providing engineered technologies that help companies drill for and produce oil and gas.,http://www.apergy.com,APY.png,Sivasankaran Somasundaram,New York Stock Exchange,2660524552,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
WHD,Cactus Inc. Class A,Cactus,Oil & Gas - Services,"Cactus Inc is primarily engaged in the design, manufacture, and sale of wellheads and pressure control equipment. Its principal products include Cactus SafeDrill wellhead systems, frac stacks, zipper manifolds, and production trees.",http://www.cactuswhd.com,,Scott Bender,New York Stock Exchange,2475855862,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
RES,RPC Inc.,RPC,Oil & Gas - Services,"RPC Inc provides oilfield services and equipment to oil and gas companies engaged in the exploration, production and development of oil and gas properties throughout the United States.",http://www.rpc.net,,Richard A. Hubbell,New York Stock Exchange,2374592354,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
LBRT,Liberty Oilfield Services Inc. Class A,Liberty Oilfield Services,Oil & Gas - Services,Liberty Oilfield Services Inc is a provider of hydraulic fracturing services to onshore oil and natural gas E&P companies in North America.,http://www.libertyfrac.com,LBRT.png,Christopher A. Wright,New York Stock Exchange,1862381388,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
MDR,McDermott International Inc.,McDermott International,Oil & Gas - Services,"McDermott International Inc is an engineering, procurement, construction and installation company engaged in designing and executing complex offshore oil and gas projects.",http://www.mcdermott.com,MDR.png,David Dickson,New York Stock Exchange,1713743242,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
PUMP,ProPetro Holding Corp.,ProPetro Holding,Oil & Gas - Services,ProPetro Holding Corp is an oilfield services company providing hydraulic fracturing and other complementary services to upstream oil and gas companies.,http://www.propetroservices.com,PUMP.png,Dale Redman,New York Stock Exchange,1712866405,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
OII,Oceaneering International Inc.,Oceaneering International,Oil & Gas - Services,"Oceaneering International Inc is an oil & gas enterprise. It provides engineered services and products to the offshore oil and gas industry, with a focus on deepwater applications.",http://www.oceaneering.com,OII.png,Roderick A. Larson,New York Stock Exchange,1559773733,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
DNOW,NOW Inc.,NOW,Oil & Gas - Services,"NOW Inc is a distributor to energy products and products for industrial applications. Its products includes consumable maintenance, repair and operating supplies, pipe, valves, fittings, flanges, electrical, artificial lift solutions, pumps, mill tools.",http://www.distributionnow.com,DNOW.png,Robert R. Workman,New York Stock Exchange,1498375083,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
USAC,USA Compression Partners LP Representing Limited Partner Interests,USA Compression Partners Representing Limited Partner Interests,Oil & Gas - Services,"USA Compression Partners LP provides natural gas compression services under term contracts with customers in the oil and gas industry, using natural gas compressor packages that it designs, engineers, owns, operates and maintains.",http://www.usacpartners.com,,Eric D. Long,New York Stock Exchange,1439687737,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
MRC,MRC Global Inc.,MRC Global,Oil & Gas - Services,"MRC Global Inc along with its subsidiaries is an industrial distributor of pipe, valves and fittings and related products and services to energy industries. Its other products are pipe, steel fitting, and tubular goods.",http://www.mrcglobal.com,,Andrew R. Lane,New York Stock Exchange,1436174130,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
FI,Frank's International N.V.,Frank's International N.V.,Oil & Gas - Services,"Frank's International NV provides tubular services, tubular fabrication and specialty well construction and well intervention solutions to both offshore and onshore exploration and production companies.",http://www.franksinternational.com,,Michael C. Kearney,New York Stock Exchange,1374897099,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
DRQ,Dril-Quip Inc.,Dril-Quip,Oil & Gas - Services,Dril-Quip Inc is in the oil and gas industry. It manufactures offshore drilling and production equipment for use in deepwater.,http://www.dril-quip.com,,Blake T. DeBerry,New York Stock Exchange,1345582034,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services 
