ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
TM,Toyota Motor Corporation,Toyota Motor,Autos,"Toyota Motor Corp designs, manufactures and sells sedans, minivans, compact cars, sport-utility vehicles, trucks and related parts and accessories. It also provides financing, vehicle and equipment leasing and certain other financial services.",http://www.toyota.co.jp,TM.png,,New York Stock Exchange,1.79E+11,Consumer Cyclical,Consumer Cyclical,Auto Manufacturers,Autos 
GM,General Motors Company,General Motors Company,Autos,"General Motors Company is an American multinational corporation. It designs, builds and sells cars, trucks and automobile parts. The company also provides automotive financing services through General Motors Financial Company, Inc.",https://www.gm.com,GM.png,Mary Barra,New York Stock Exchange,54945943433,Consumer Cyclical,Consumer Cyclical,Auto Manufacturers,Autos 
TSLA,Tesla Inc.,Tesla,Autos,"Tesla Inc is a vertically integrated sustainable energy company. It designs, develops, manufactures and sells high-performance fully electric vehicles and electric vehicle powertrain components.",https://www.tesla.com,TSLA.png,Elon Musk,Nasdaq Global Select,54932162739,Consumer Cyclical,Consumer Cyclical,Auto Manufacturers,Autos 
HMC,Honda Motor Company Ltd.,Honda Motor Company,Autos,"Honda Motor Co Ltd develops, manufactures and markets motorcycles, automobiles and power products. The company produces motorcycles with engine displacement ranging from the 50cc to the 1800cc class. It produces all-terrain and side-by-side vehicles.",http://www.honda.co.jp,HMC.png,Takahiro Hachigo,New York Stock Exchange,50027026612,Consumer Cyclical,Consumer Cyclical,Auto Manufacturers,Autos 
F,Ford Motor Company,Ford Motor Company,Autos,"Ford Motor Co manufactures, markets, and services Ford cars, trucks, sport utility vehicles, electronic vehicles, and Lincoln luxury vehicles. It also provides financial services through Ford Motor Credit Company.",http://www.ford.com,F.png,James P. Hackett,New York Stock Exchange,34607759450,Consumer Cyclical,Consumer Cyclical,Auto Manufacturers,Autos 
FCAU,Fiat Chrysler Automobiles N.V.,Fiat Chrysler Automobiles N.V.,Autos,"Fiat Chrysler Automobiles NV engages in the designing, engineering, manufacturing and selling of passenger cars, light commercial vehicles, components and production systems worldwide. It manufactures automotive parts, engines, and industrial robots.",http://www.fcagroup.com,FCAU.png,,New York Stock Exchange,33547655730,Consumer Cyclical,Consumer Cyclical,Auto Manufacturers,Autos 
RACE,Ferrari N.V.,Ferrari N.V.,Autos,"Ferrari NV is a designer and manufacturer of luxury performance sports cars under the brand name of Ferrari. Its sports cars portfolio includes F12berlinetta, FF, Ferrari 488 GTB, 488 Spider, 458 Speciale, Ferrari California, among others.",http://www.ferrari.com,RACE.png,Sergio Marchionne,New York Stock Exchange,31305471142,Consumer Cyclical,Consumer Cyclical,Auto Manufacturers,Autos 
GM+B,General Motors Company Warrant (Expires 07/10/2019),General Motors Company Warrant (Expires 07/10/2019),Autos,"General Motors Company is an American multinational corporation. It designs, builds and sells cars, trucks and automobile parts. The company also provides automotive financing services through General Motors Financial Company, Inc.",https://www.gm.com,GM+B.png,Mary Barra,New York Stock Exchange,29724595041,Consumer Cyclical,Consumer Cyclical,Auto Manufacturers,Autos 
APTV,Aptiv PLC,Aptiv PLC,Autos,"Aptiv PLC primarily supplies components and systems that are used to build a vehicle's electrical system. The company also provides body controls, infotainment and connectivity systems for the automobile industry.",http://www.aptiv.com,APTV.png,Kevin P. Clark,New York Stock Exchange,20706287350,Consumer Cyclical,Consumer Cyclical,Auto Parts,Autos 
MGA,Magna International Inc.,Magna International,Autos,"Magna International Inc is an auto parts supplier. Its products include chassis, interior, exterior, seating and powertrain.",http://www.magna.com,MGA.png,Donald J. Walker,New York Stock Exchange,17234750947,Consumer Cyclical,Consumer Cyclical,Auto Parts,Autos 
CPRT,Copart Inc.,Copart,Autos,"Copart Inc provides online auctions and vehicle remarketing services in United States, Canada, United Kingdom and Brazil. The company offers vehicle sellers with services to process and sell vehicles over the internet.",http://www.copart.com,CPRT.png,A. Jayson Adair,Nasdaq Global Select,12058817684,Consumer Cyclical,Consumer Cyclical,Auto & Truck Dealerships,Autos 
KMX,CarMax Inc,CarMax,Autos,CarMax Inc is engaged in the automobile dealership business. Its services involve selling vehicles which includes both used and new vehicles.,http://www.carmax.com,KMX.png,William D. Nash,New York Stock Exchange,10456956998,Consumer Cyclical,Consumer Cyclical,Auto & Truck Dealerships,Autos 
LEA,Lear Corporation,Lear,Autos,"Lear Corp designs, develops, and manufactures automotive seating and electrical systems and components. Its products include frames and mechanisms, covers, foam, and headrests as well as wiring harnesses, terminals and connectors and others.",http://www.lear.com,,Raymond E. Scott,New York Stock Exchange,9941173892,Consumer Cyclical,Consumer Cyclical,Auto Parts,Autos 
LKQ,LKQ Corporation,LKQ,Autos,"LKQ Corp is a provider of alternative and mechanical replacement products. The company distributes vehicle replacement parts, components, and systems used in repair and maintenance as well as specialty products and accessories.",http://www.lkqcorp.com,LKQ.png,Dominick Zarcone,Nasdaq Global Select,8639202056,Consumer Cyclical,Consumer Cyclical,Auto Parts,Autos 
BWA,BorgWarner Inc.,BorgWarner,Autos,"BorgWarner Inc is a supplier of auto parts. Its products comprise technologies for combustion, hybrid and electric vehicles. The company operates in two business segments that are Engine and Drivetrain. The Engine segment generates maximum revenue.",http://www.borgwarner.com,BWA.png,Frederic Lissalde,New York Stock Exchange,8535015902,Consumer Cyclical,Consumer Cyclical,Auto Parts,Autos 
TTM,Tata Motors Ltd Limited,Tata Motors Limited,Autos,"Tata Motors Ltd is an automotive manufacturer. The company's product portfolio includes motor vehicles and trucks. Some of its brands include Tata its flagship brand, Jaguar, and Land Rover. It is based in India and sells its products worldwide.",http://www.tatamotors.com,TTM.png,Guenter Butschek,New York Stock Exchange,8296064152,Consumer Cyclical,Consumer Cyclical,Auto Manufacturers,Autos 
NIO,NIO Inc. American depositary shares each representing one Class A,NIO American depositary shares each representing one,Autos,The Fund will invest substantially all (at least 80 percent) of its managed assets in investment grade quality municipal securities.,https://www.nio.io,NIO.png,Bin Li,New York Stock Exchange,7900277354,Consumer Cyclical,Consumer Cyclical,Auto Manufacturers,Autos 
ALV,Autoliv Inc.,Autoliv,Autos,Autoliv Inc is involved in the auto parts industry. Its products mainly include passive and active safety systems.,http://www.autoliv.com,ALV.png,Mikael Bratt,New York Stock Exchange,6753572580,Consumer Cyclical,Consumer Cyclical,Auto Parts,Autos 
ALSN,Allison Transmission Holdings Inc.,Allison Transmission,Autos,Allison Transmission Holdings Inc is engaged in the design amd manufacturing of commercial and defense fully-automatic transmissions. It manufactures transmissions for medium- and heavy-duty commercial vehicles and defense vehicles.,http://www.allisontransmission.com,ALSN.png,David S. Graziosi / Lawrence E. Dewey,New York Stock Exchange,6408018203,Consumer Cyclical,Consumer Cyclical,Auto Parts,Autos 
WBC,Wabco Holdings Inc.,Wabco,Autos,"WABCO Holdings Inc and its subsidiaries engineers, develops, manufactures and sells integrated systems controlling braking, stability, suspension and transmission automation as well as air compression and processing for commercial vehicles.",http://www.wabco-auto.com,WBC.png,Jacques Esculier,New York Stock Exchange,6037545219,Consumer Cyclical,Consumer Cyclical,Auto Parts,Autos 
