ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
CAT,Caterpillar Inc.,Caterpillar,Farm & Construction Machinery,"Caterpillar Inc caters to the farming industry in the United States. It manufactures construction & mining equipment, diesel & natural gas engines, industrial gas turbines and diesel-electric locomotives.",http://www.caterpillar.com,CAT.png,D. James Umpleby,New York Stock Exchange,77233166336,Industrials,Industrials,Farm & Construction Equipment,Farm & Construction Machinery 
DE,Deere & Company,Deere & Company,Farm & Construction Machinery,"Deere & Co is engaged in manufacturing agricultural, construction, turf, and forestry machinery. It also provides secured and lease-based financing to support dealer inventory and customer purchases.",http://www.deere.com,DE.png,Samuel R. Allen,New York Stock Exchange,52623564744,Industrials,Industrials,Farm & Construction Equipment,Farm & Construction Machinery 
CNHI,CNH Industrial N.V.,CNH Industrial N.V.,Farm & Construction Machinery,"CNH Industrial NV is engaged in capital goods sector. It designs, manufactures and sells agricultural and construction equipment such as trucks, commercial vehicles, buses, engines and transmissions for vehicles and engines for marine applications.",http://www.cnhindustrial.com,CNHI.png,Richard Tobin,New York Stock Exchange,13646472679,Industrials,Industrials,Farm & Construction Equipment,Farm & Construction Machinery 
AGCO,AGCO Corporation,AGCO,Farm & Construction Machinery,"AGCO Corp is a Georgia-based company which manufactures and distributes agricultural equipment and related replacement parts in various parts of the country. It sells a full range of agricultural equipment, including tractors, combines, among others.",http://www.agcocorp.com,AGCO.png,Martin H. Richenhagen,New York Stock Exchange,5144835718,Industrials,Industrials,Farm & Construction Equipment,Farm & Construction Machinery 
TEX,Terex Corporation,Terex,Farm & Construction Machinery,"Terex Corp is a global manufacturer of a wide variety of construction and materials processing equipment such as cranes, aerial work platforms, and rock crushers.",http://www.terex.com,TEX.png,John L. Garrison,New York Stock Exchange,2299440000,Industrials,Industrials,Farm & Construction Equipment,Farm & Construction Machinery 
ALG,Alamo Group Inc.,Alamo,Farm & Construction Machinery,"Alamo Group Inc is engaged in the design and manufacturing of agricultural equipment and infrastructure maintenance equipment. Its products include tractor-mounted mowing and other vegetation maintenance equipment, among others.",http://www.alamo-group.com,,Ronald A. Robinson,New York Stock Exchange,1018621783,Industrials,Industrials,Farm & Construction Equipment,Farm & Construction Machinery 
LNN,Lindsay Corporation,Lindsay,Farm & Construction Machinery,"Lindsay Corp designs, manufactures, and sells irrigation systems used in the agricultural industry. It also provides proprietary water management and road infrastructure products and services. The firm has Irrigation and Infrastructure reportable systems.",http://www.lindsay.com,,Timothy L. Hassinger,New York Stock Exchange,942434797,Industrials,Industrials,Farm & Construction Equipment,Farm & Construction Machinery 
ASTE,Astec Industries Inc.,Astec Industries,Farm & Construction Machinery,"Astec Industries Inc designs, engineers, manufactures and markets equipment and components used in road building, utility and related construction activities as well as other products. It also serves the energy market by supplying various products.",http://www.astecindustries.com,ASTE.png,Richard J. Dorris,Nasdaq Global Select,825270658,Industrials,Industrials,Farm & Construction Equipment,Farm & Construction Machinery 
CMCO,Columbus McKinnon Corporation,Columbus McKinnon,Farm & Construction Machinery,"Columbus McKinnon Corp is a designer, manufacturer and marketer of hoists, rigging tools, cranes, actuators, and other material handling products serving commercial and industrial end-user markets.",http://www.cmworks.com,CMCO.png,Mark D. Morelli,Nasdaq Global Select,823959919,Industrials,Industrials,Farm & Construction Equipment,Farm & Construction Machinery 
MTW,Manitowoc Company Inc. (The),Manitowoc Company (The),Farm & Construction Machinery,"Manitowoc Co Inc provides services to the farming industry. It manufactures markets and supports product lines of mobile telescopic cranes, tower cranes, crawler cranes and boom trucks.",http://www.manitowoc.com,MTW.png,Barry L. Pennypacker,New York Stock Exchange,597132224,Industrials,Industrials,Farm & Construction Equipment,Farm & Construction Machinery 
TWI,Titan International Inc. (DE),Titan International (DE),Farm & Construction Machinery,"Titan International Inc is a manufacturer of wheels, tires, wheel and tire assemblies, and undercarriage systems and components for off-highway vehicles. It operates through three segments namely Agricultural, Earthmoving/Construction, and Consumer.",http://www.titan-intl.com,TWI.png,Paul G. Reitz,New York Stock Exchange,334336709,Industrials,Industrials,Farm & Construction Equipment,Farm & Construction Machinery 
GENC,Gencor Industries Inc.,Gencor Industries,Farm & Construction Machinery,"Gencor Industries Inc manufactures heavy machinery used in the production of highway construction materials, synthetic fuels and environmental control equipment. Its products include asphalt plants, combustion systems and fluid heat transfer systems.",http://www.gencor.com,GENC.png,John E. Elliott,NASDAQ Global Market,201395537,Industrials,Industrials,Farm & Construction Equipment,Farm & Construction Machinery 
ASV,ASV Holdings Inc.,ASV,Farm & Construction Machinery,ASV Holdings Inc is a designer and manufacturer of compact construction equipment with emphasis on compact track loaders. It also serves as a private label original equipment manufacturer for several manufacturers.,http://http:/www.asvi.com,ASV.png,Andrew M. Rooke,NASDAQ Capital Market,30195022,Industrials,Industrials,Farm & Construction Equipment,Farm & Construction Machinery 
ARTW,Art's-Way Manufacturing Co. Inc.,Art's-Way Manufacturing Co.,Farm & Construction Machinery,"Art's-Way Manufacturing Co Inc is a manufacturer of agricultural equipment. It has three reportable segments: Agricultural Products, Modular Buildings and Tools.",http://www.artsway-mfg.com,,Carrie L. Gunnerson,NASDAQ Capital Market,8582574,Industrials,Industrials,Farm & Construction Equipment,Farm & Construction Machinery 
