ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
HP,Helmerich & Payne Inc.,Helmerich & Payne,Oil & Gas - Drilling,"Helmerich & Payne Inc is engaged in contract drilling of oil and gas wells for oil and gas exploration and production companies. Its business comprises of three reportable segments, U.S. Land, Offshore and International Land.",http://www.hpinc.com,HP.png,John W. Lindsay,New York Stock Exchange,6247044115,Energy,Energy,Oil & Gas Drilling,Oil & Gas - Drilling 
RIG,Transocean Ltd (Switzerland),Transocean (Switzerland),Oil & Gas - Drilling,"Transocean Ltd is an international provider of offshore contract drilling services for oil and gas wells. Its business activities include contracting drilling rigs, related equipment and work crews to drill oil and gas wells.",http://www.deepwater.com,RIG.png,Jeremy D. Thigpen,New York Stock Exchange,5355143679,Energy,Energy,Oil & Gas Drilling,Oil & Gas - Drilling 
PTEN,Patterson-UTI Energy Inc.,Patterson-UTI Energy,Oil & Gas - Drilling,"Patterson-UTI Energy Inc is a North America-based land rig drilling contractors. It operates in three segments namely, Contract Drilling Services, Pressure Pumping Services, and Oil and Natural Gas Exploration and Production.",http://www.patenergy.com,PTEN.png,William Andrew Hendricks,Nasdaq Global Select,2780719279,Energy,Energy,Oil & Gas Drilling,Oil & Gas - Drilling 
ESV,Ensco plc Class A,Ensco plc,Oil & Gas - Drilling,"Ensco PLC provides offshore contract drilling services to national and international oil companies as well as independent operators. It operates its business in U.S. Gulf of Mexico, Mexico, Brazil, the Mediterranean, and the North Sea.",http://www.enscoplc.com,ESV.png,Carl Trowell,New York Stock Exchange,2031107229,Energy,Energy,Oil & Gas Drilling,Oil & Gas - Drilling 
RDC,Rowan Companies plc Class A,Rowan Companies plc,Oil & Gas - Drilling,Rowan Companies PLC is an offshore drilling contractor firm. The company engages in drilling oil and gas properties on contractual basis and mainly serves the petroleum industry.,http://www.rowancompanies.com,RDC.png,Thomas Peter Burke,New York Stock Exchange,1625210003,Energy,Energy,Oil & Gas Drilling,Oil & Gas - Drilling 
DO,Diamond Offshore Drilling Inc.,Diamond Offshore Drilling,Oil & Gas - Drilling,"Diamond Offshore Drilling Inc is engaged in the oil and gas sector. Its business involves offshore oil and gas drilling. The company offers a range of services in various markets, including the deep water and harsh environment.",http://www.diamondoffshore.com,DO.png,Marc Gerard Rex Edwards,New York Stock Exchange,1531022580,Energy,Energy,Oil & Gas Drilling,Oil & Gas - Drilling 
NBR,Nabors Industries Ltd.,Nabors Industries,Oil & Gas - Drilling,Nabors Industries Ltd owns and operates land-based drilling rig fleet. It provides offshore platform workover and drilling rigs in the United States and international markets.,http://www.nabors.com,NBR.png,Anthony G. Petrello,New York Stock Exchange,1141364666,Energy,Energy,Oil & Gas Drilling,Oil & Gas - Drilling 
UNT,Unit Corporation,Unit,Oil & Gas - Drilling,"Unit Corp is engaged in the exploration, development, acquisition, and production of oil and natural gas properties, the land contract drilling of natural gas and oil wells, and the buying, selling, gathering, processing, and treating of natural gas.",http://www.unitcorp.com,,Larry D. Pinkston,New York Stock Exchange,870334058,Energy,Energy,Oil & Gas Drilling,Oil & Gas - Drilling 
SDRL,Seadrill Limited,Seadrill Limited,Oil & Gas - Drilling,,http://www.seadrill.com,SDRL.png,,New York Stock Exchange,857000000,Energy,Energy,Oil & Gas Drilling,Oil & Gas - Drilling 
NE,Noble Corporation (UK),Noble (UK),Oil & Gas - Drilling,Noble Corp PLC is an offshore drilling contractor for the oil and gas industry. It performs contract drilling services with its fleet of mobile offshore drilling units.,http://www.noblecorp.com,NE.png,Julie J. Robertson,New York Stock Exchange,842802873,Energy,Energy,Oil & Gas Drilling,Oil & Gas - Drilling 
