ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
BTU,Peabody Energy Corporation,Peabody Energy,Coal,"Peabody Energy Corp is a coal company. It also markets and brokers coal, both as principal and agent, and trades coal and freight-related contracts. The company own interest in nearly 25 coal mines.",http://www.peabodyenergy.com,BTU.png,Glenn L. Kellow,New York Stock Exchange,4062460000,Basic Materials,Basic Materials,Coal, 
ARLP,Alliance Resource Partners L.P.,Alliance Resource Partners,Coal,"Alliance Resource Partners LP is a producer and marketer of coal in the United States. Most of its operations are prevalent in the Illinois Basin, which entails underground mining complexes in Illinois, Indiana, Kentucky, Maryland and West Virginia.",http://www.arlp.com,,Joseph W. Craft,Nasdaq Global Select,2552943534,Basic Materials,Basic Materials,Coal, 
ARCH,Arch Coal Inc. Class A,Arch Coal,Coal,"Arch Coal Inc is a coal producer in the United States, which sells coal to power plants, steel mills and industrial facilities.",http://www.archcoal.com,ARCH.png,,New York Stock Exchange,1654911182,Basic Materials,Basic Materials,Coal, 
HCC,Warrior Met Coal Inc.,Warrior Met Coal,Coal,"Warrior Met Coal Inc produces and exports metallurgical coal for the steel industry. The company has underground mines located in Brookwood, Alabama, southwest of Birmingham and near Tuscaloosa.",http://www.warriormetcoal.com,,Walter Scheller,New York Stock Exchange,1509361748,Basic Materials,Basic Materials,Coal, 
CTRA,Contura Energy Inc.,Contura Energy,Coal,"Contura Energy Inc is engaged in mining operations across multiple coal basins in Pennsylvania, Virginia, West Virginia and Wyoming. It supplies both metallurgical coal to the steel industry and thermal coal to generate power.",http://www.conturaenergy.com,CTRA.png,,New York Stock Exchange,1234281633,Basic Materials,Basic Materials,Coal, 
CEIX,CONSOL Energy Inc.,CONSOL Energy,Coal,CONSOL Energy Inc is a Canonsburg-based producer and exporter of high-BTU bituminous thermal coal. It owns and operates longwall mining operations in the nation and export terminals on the Eastern seaboard.,http://www.consolenergy.com,CEIX.png,James A. Brock,New York Stock Exchange,980563612,Basic Materials,Basic Materials,Coal, 
SXCP,SunCoke Energy Partners L.P. Representing Limited partner Interests,SunCoke Energy Partners Representing Limited partner Interests,Coal,"SunCoke Energy Partners LP produces coke used in the blast furnace production of steel. It also provides handling and mixing services to steel, coke, electric utility, coal producing, and other manufacturing based customers.",http://www.suncoke.com,,Michael G. Rippey,New York Stock Exchange,676996582,Basic Materials,Basic Materials,Coal, 
SXC,SunCoke Energy Inc.,SunCoke Energy,Coal,SunCoke Energy Inc is engaged in the production of metallurgical coke in the Americas. The Company also owns and operates coal mining operations in Virginia and West Virginia.,http://www.suncoke.com,,,New York Stock Exchange,649750455,Basic Materials,Basic Materials,Coal, 
CCR,CONSOL Coal Resources LP representing limited partner interests,CONSOL Coal Resources representing limited partner interests,Coal,"CONSOL Coal Resources LP is engaged in the bituminous coal operations in Pennsylvania. It has ownership interest and management and control rights in CONSOL Energy's Pennsylvania mining complex including Bailey, Enlow Fork and Harvey.",http://www.ccrlp.com,CCR.png,James A. Brock,New York Stock Exchange,527602069,Basic Materials,Basic Materials,Coal, 
FELP,Foresight Energy LP representing Limited Partner Interests,Foresight Energy representing Limited Partner Interests,Coal,Foresight Energy LP is a producer and marketer of thermal coal. It sells coal mainly to electric utility companies in the United States.,http://www.foresight.com,,Robert D. Moore,New York Stock Exchange,475304773,Basic Materials,Basic Materials,Coal, 
NRP,Natural Resource Partners LP Limited Partnership,Natural Resource Partners Limited Partnership,Coal,"Natural Resource Partners LP is a diversified natural resource company. It is primarily engaged in the business of owning, managing and leasing a diversified portfolio of mineral properties in the United States.",http://www.nrplp.com,NRP.png,Corbin J. Robertson,New York Stock Exchange,472937430,Basic Materials,Basic Materials,Coal, 
NC,NACCO Industries Inc.,NACCO Industries,Coal,NACCO Industries Inc along with its subsidiaries is engaged mining coal primarily for use in power generation and provides value-added services for natural resource companies.,http://www.nacco.com,NC.png,J.C. Butler,New York Stock Exchange,243131743,Basic Materials,Basic Materials,Coal, 
METC,Ramaco Resources Inc.,Ramaco Resources,Coal,"Ramaco Resources Inc is a operator and developer of high-quality, low-cost metallurgical coal in central and southern West Virginia and southwestern Pennsylvania.",http://www.ramacoresources.com,METC.png,Michael D. Bauersachs,Nasdaq Global Select,242498925,Basic Materials,Basic Materials,Coal, 
HNRG,Hallador Energy Company,Hallador Energy Company,Coal,"Hallador Energy Co is primarily a coal mining company with operations in Indiana, USA, and it is part of the electric power generation industry. The company also has equity interests in oil and gas exploration companies in both Indiana and Michigan.",http://www.halladorenergy.com,,Brent K. Bilsland,NASDAQ Capital Market,175328312,Basic Materials,Basic Materials,Coal, 
TANH,Tantech Holdings Ltd.,Tantech,Coal,"Tantech Holdings Ltd is engaged in developing and manufacturing bamboo-based charcoal products for industrial energy applications and household cooking, heating, purification, agricultural and cleaning uses.",http://www.tantech.cn,,Zhengyu Wang,NASDAQ Capital Market,49082544,Basic Materials,Basic Materials,Coal, 
CLD,Cloud Peak Energy Inc,Cloud Peak Energy,Coal,"Cloud Peak Energy Inc is a coal producer in the USA. The company owns and operates three surface coal mines: the Antelope Mine, the Cordero Rojo Mine, and the Spring Creek Mine and two development projects in the Northern Powder River Basin.",http://www.cloudpeakenergy.com,CLD.png,Colin Marshall,New York Stock Exchange,31607081,Basic Materials,Basic Materials,Coal, 
