ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
MCD,McDonald's Corporation,McDonald's,Restaurants,"McDonald's Corp operates a chain of restaurants with approximately 37,200 restaurants in 120 countries. It also receives franchise royalties, and licensing pacts. The company offers a uniform value-priced menu with special additions based on regions.",http://www.aboutmcdonalds.com,MCD.png,Stephen Easterbrook,New York Stock Exchange,1.38E+11,Consumer Cyclical,Consumer Cyclical,Restaurants, 
SBUX,Starbucks Corporation,Starbucks,Restaurants,"Starbucks Corp is the roaster, marketer and retailer of specialty coffee in the world, operating globally. It sells a variety of coffee and tea products. It sells goods and services under brands including Teavana, Tazo, and Seattle's Best Coffee.",http://www.starbucks.com,SBUX.png,Kevin R. Johnson,Nasdaq Global Select,85895452000,Consumer Cyclical,Consumer Cyclical,Restaurants, 
YUM,Yum! Brands Inc.,Yum! Brands,Restaurants,"Yum Brands Inc is engaged in operating quick-service restaurant systems. The company's restaurant brands includes KFC, Pizza Hut and Taco Bell .",http://www.yum.com,YUM.png,Greg Creed,New York Stock Exchange,29421954839,Consumer Cyclical,Consumer Cyclical,Restaurants, 
QSR,Restaurant Brands International Inc.,Restaurant Brands International,Restaurants,"Restaurant Brands International Inc is a quick service restaurant company. It owns and operates restaurants brands include Burger King, Tim Hortons, and Popeyes Louisiana Kitchen.",http://www.rbi.com,QSR.png,Jose E. Cil,New York Stock Exchange,15737581080,Consumer Cyclical,Consumer Cyclical,Restaurants, 
YUMC,Yum China Holdings Inc.,Yum China,Restaurants,"Yum China Holdings Inc is a restaurant company. It holds the right to operate various restaurant chains including KFC, Pizza Hut Casual Dining, Pizza Hut Home Service, East Dawning, Little Sheep and Taco Bell.",http://www.yumchina.com,,Muktesh Pant,New York Stock Exchange,15356323875,Consumer Cyclical,Consumer Cyclical,Restaurants, 
CMG,Chipotle Mexican Grill Inc.,Chipotle Mexican Grill,Restaurants,"Chipotle Mexican Grill Inc together with its subsidiaries operates Chipotle Mexican Grill restaurants, which serves a menu of burritos, tacos, burrito bowls and salads, made using fresh ingredients.",http://www.chipotle.com,CMG.png,,New York Stock Exchange,14669471416,Consumer Cyclical,Consumer Cyclical,Restaurants, 
DRI,Darden Restaurants Inc.,Darden Restaurants,Restaurants,"Darden Restaurants Inc is engaged in the food & beverage industry. Its primary occupation involves the operation of dining restaurants under trade names such as Olive Garden, LongHorn Steakhouse and Bahama Breeze.",http://www.darden.com,DRI.png,Eugene I. Lee,New York Stock Exchange,13236467782,Consumer Cyclical,Consumer Cyclical,Restaurants, 
DPZ,Domino's Pizza Inc,Domino's Pizza,Restaurants,"Domino's Pizza Inc is a quick service pizza restaurant chain. It is engaged in retail sales of food, equipment and supplies to company-owned and franchised Domino's Pizza stores, and receipt of royalties and fees from Domino's Pizza franchisees.",http://www.dominos.com,DPZ.png,Richard E. Allison,New York Stock Exchange,11691009119,Consumer Cyclical,Consumer Cyclical,Restaurants, 
ARMK,Aramark,Aramark,Restaurants,"Aramark is engaged in the restaurant business. Apart from its core focus on providing food services, Aramark engages in providing facilities and uniform services. It caters to education, healthcare and leisure markets.",http://www.aramark.com,,Eric J. Foss,New York Stock Exchange,8364084044,Consumer Cyclical,Consumer Cyclical,Restaurants, 
DNKN,Dunkin' Brands Group Inc.,Dunkin' Brands,Restaurants,"Dunkin Brands Group Inc is franchisors of quick service restaurants serving hot and cold coffee and baked goods, as well as hard-serve ice cream. Its franchisee brands are Dunkin' Donuts and Baskin-Robbins.",http://www.dunkinbrands.com,DNKN.png,David L. Hoffmann,Nasdaq Global Select,5707476609,Consumer Cyclical,Consumer Cyclical,Restaurants, 
