ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
URI,United Rentals Inc.,United Rentals,Consulting & Outsourcing,"United Rentals Inc operates in the rental and leasing industry. It provides equipment on rent to construction and industrial companies, manufacturers, utilities, municipalities, homeowners, government entities.",http://www.unitedrentals.com,URI.png,Michael J. Kneeland,New York Stock Exchange,10237800878,Industrials,Industrials,Rental & Leasing Services,Consulting & Outsourcing 
ALLE,Allegion plc,Allegion plc,Consulting & Outsourcing,"Allegion PLC provides security products and solutions that keep people safe, secure and productive. Its products include door closers, exit devices, frames, biometrics, special surfaces, video surveillance, wireless connectivity, and cloud technology.",http://www.allegion.com,ALLE.png,David D. Petratis,New York Stock Exchange,8296466995,Industrials,Industrials,Security & Protection Services,Consulting & Outsourcing 
UHAL,Amerco,Amerco,Consulting & Outsourcing,"Amerco Inc provides trucks and trailers on rent, sells moving supplies, towing accessories, propane and rents fixed and portable moving and storage units to the ""do-it-yourself"" mover and management of self-storage properties owned by others.",http://www.amerco.com,,Edward J. Shoen,Nasdaq Global Select,7126940743,Industrials,Industrials,Rental & Leasing Services,Consulting & Outsourcing 
ADT,ADT Inc.,ADT,Consulting & Outsourcing,"ADT Inc provides monitored security, interactive home and business automation and related monitoring services.",http://www.adt.com,ADT.png,James D. DeVries,New York Stock Exchange,5812943282,Industrials,Industrials,Security & Protection Services,Consulting & Outsourcing 
AL,Air Lease Corporation Class A,Air Lease,Consulting & Outsourcing,Air Lease Corp is a U.S based aircraft leasing company. Its main source of revenue comes through the leasing of narrow and wide-bodied jet aircrafts primarily in the European market.,http://www.airleasecorp.com,AL.png,John L. Plueger,New York Stock Exchange,4225476136,Industrials,Industrials,Rental & Leasing Services,Consulting & Outsourcing 
MSA,MSA Safety Incorporated,MSA Safety Incorporated,Consulting & Outsourcing,"MSA Safety Inc develops, manufactures & supplies safety products that protect people & facility infrastructure. Its products include fixed gas & flame detection systems, portable gas detection instruments, head protection product & fall protection device.",http://www.msasafety.com,MSA.png,Nishan J. Vartanian,New York Stock Exchange,3865697325,Industrials,Industrials,Security & Protection Services,Consulting & Outsourcing 
BCO,Brinks Company (The),Brinks Company (The),Consulting & Outsourcing,"The Brink's Co along with its subsidiaries provides secure logistics & security solutions including cash-in-transit, ATM replenishment and maintenance, cash management services, including vault outsourcing, money processing, and intelligent safe services.",http://www.brinks.com,BCO.png,Douglas A Pertz,New York Stock Exchange,3748138718,Industrials,Industrials,Security & Protection Services,Consulting & Outsourcing 
AAN,Aaron's Inc.,Aaron's,Consulting & Outsourcing,"Aaron's Inc is a retailer of furniture, consumer electronics, computers, appliances and household accessories. It also offers lease-purchase solutions to customers of traditional retailers and revolving credit products.",http://www.aarons.com,AAN.png,John W. Robinson,New York Stock Exchange,3677542512,Industrials,Industrials,Rental & Leasing Services,Consulting & Outsourcing 
R,Ryder System Inc.,Ryder System,Consulting & Outsourcing,"Ryder System Inc is engaged in supply chain activities. Its services include transportation, supply chain and fleet management solutions.",http://www.ryder.com,,Robert E. Sanchez,New York Stock Exchange,3129544261,Industrials,Industrials,Rental & Leasing Services,Consulting & Outsourcing 
REZI,Resideo Technologies Inc.,Resideo,Consulting & Outsourcing,,https://www.resideo.com,REZI.png,Michael G. Nefkens,New York Stock Exchange,2893403110,Industrials,Industrials,Security & Protection Services,Consulting & Outsourcing 
GATX,GATX Corporation,GATX,Consulting & Outsourcing,"GATX Corp is a provider of railcar leasing and maintenance services. The company operates business through four segments offering railcar leasing and maintenance, asset-related financial, and management services.",http://www.gatx.com,GATX.png,Brian A. Kenney,New York Stock Exchange,2847072000,Industrials,Industrials,Rental & Leasing Services,Consulting & Outsourcing 
TRTN,Triton International Limited,Triton International Limited,Consulting & Outsourcing,"Triton International Ltd operates as a lessor of intermodal containers. The company also lease chasis which are used for the transportation of containers. The operating segments are Equipment leasing, and Equipment trading.",http://www.ir.trtn.com,,Brian M. Sondey,New York Stock Exchange,2569567973,Industrials,Industrials,Rental & Leasing Services,Consulting & Outsourcing 
BRC,Brady Corporation,Brady,Consulting & Outsourcing,"Brady Corp is a manufacturer and supplier of identification solutions and workplace safety products that identify and protect premises, products and people.",http://www.bradycorp.com,BRC.png,J. Michael Nauman,New York Stock Exchange,2336216784,Industrials,Industrials,Security & Protection Services,Consulting & Outsourcing 
CAR,Avis Budget Group Inc.,Avis Budget,Consulting & Outsourcing,"Avis Budget Group Inc provides automotive vehicle rental and car sharing services. It offers various rental services under the Avis, Budget, and Zipcar brands. The firm has its own network of rental locations and licenses its brands to franchisees.",http://www.avisbudgetgroup.com,CAR.png,Larry De Shon,Nasdaq Global Select,2041164582,Industrials,Industrials,Rental & Leasing Services,Consulting & Outsourcing 
MINI,Mobile Mini Inc.,Mobile Mini,Consulting & Outsourcing,Mobile Mini Inc provides fixed and portable storage solutions. It offers solid and liquid containment units on a rental basis.,http://www.mobilemini.com,MINI.png,Erik Olsson,Nasdaq Global Select,1658983596,Industrials,Industrials,Rental & Leasing Services,Consulting & Outsourcing 
