ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
DAL,Delta Air Lines Inc.,Delta Air Lines,Airlines,Delta Air Lines Inc provides scheduled air transportation for passengers and cargo throughout the United States and across the world.,http://www.delta.com,DAL.png,Edward H. Bastian,New York Stock Exchange,34514045408,Industrials,Industrials,Airlines, 
LUV,Southwest Airlines Company,Southwest Airlines Company,Airlines,Southwest Airlines Co is one of largest domestic carrier in the United States. The company operates approximately 700 aircraft constituting an all-Boeing fleet and specializes in short-haul flights and several international locations.,http://www.southwest.com,LUV.png,Gary C. Kelly,New York Stock Exchange,32908993297,Industrials,Industrials,Airlines, 
UAL,United Continental Holdings Inc.,United Continental,Airlines,United Continental Holdings Inc is a holding company. It transports people and cargo through its mainline and regional operations.,http://www.unitedcontinentalholdings.com,,Oscar Munoz,Nasdaq Global Select,24305187872,Industrials,Industrials,Airlines, 
GOL,Gol Linhas Aereas Inteligentes S.A. Sponsored ADR representing 2 Pfd Shares,Gol Linhas Aereas Inteligentes S.A. Sponsored representing 2 Pfd Shares,Airlines,"Gol Intelligent Airlines Inc is a low-cost carrier that provides regular and non-regular air transportation services of passengers, cargo and mailbags, domestically or internationally.",http://www.voegol.com.br,GOL.png,Paulo Kakinoff,New York Stock Exchange,22790526828,Industrials,Industrials,Airlines, 
AAL,American Airlines Group Inc.,American Airlines,Airlines,"American Airlines Group Inc operates over 6,000 flights per day to more than 300 destinations across the world from hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix and Washington, D.C.",http://www.aa.com,AAL.png,W. Douglas Parker,Nasdaq Global Select,16940186209,Industrials,Industrials,Airlines, 
RYAAY,Ryanair Holdings plc American Depositary Shares each representing five Ordinary Shares,Ryanair plc American Depositary Shares each representing five Ordinary Shares,Airlines,Ryanair Holdings PLC is an airline operator. The company mainly offers short-haul airline transport services within Europe. It manages transports through a single route-scheduling with a system of its own.,http://www.ryanair.com,,Michael O'Leary,Nasdaq Global Select,16239288145,Industrials,Industrials,Airlines, 
CEA,China Eastern Airlines Corporation Ltd.,China Eastern Airlines,Airlines,"China Eastern Airlines Corp Ltd is an air carrier operating in China. The Company and its subsidiaries are engaged in the operation of civil aviation, including the provision of domestic, regional and international passenger airline services.",http://www.ceair.com,,,New York Stock Exchange,8926500346,Industrials,Industrials,Airlines, 
ZNH,China Southern Airlines Company Limited,China Southern Airlines Company Limited,Airlines,"China Southern Airlines Co Ltd in collaboration with its subsidiaries, functions in the airline industry. Its provides commercial airline services throughout China, Hong Kong and Macau regions, Southeast Asia and other parts of the world.",http://www.csair.com,,,New York Stock Exchange,8788202200,Industrials,Industrials,Airlines, 
ALK,Alaska Air Group Inc.,Alaska Air,Airlines,"Alaska Air Group Inc operates Alaska, Virgin America and Horizon Air airlines. The company through its subsidiaries provides passenger air, freight and mail services within the state of Alaska and on the West Coast.",http://www.alaskaair.com,,Bradley D. Tilden,New York Stock Exchange,7950377230,Industrials,Industrials,Airlines, 
LTM,LATAM Airlines Group S.A.,LATAM Airlines S.A.,Airlines,"LATAM Airlines Group SA is engaged in passenger and cargo transportation. It functions under two brands, which are LAN and TAM.",http://www.latamairlinesgroup.net,,Enrique Cueto Cueto Plaza,New York Stock Exchange,7358757355,Industrials,Industrials,Airlines, 
JBLU,JetBlue Airways Corporation,JetBlue Airways,Airlines,"JetBlue Airways Corp is engaged in the airlines industry. It primarily provides passenger airline service. It also extends its services to cargo transport, travel agency operations and travel insurance.",http://www.jetblue.com,JBLU.png,Robin Hayes,Nasdaq Global Select,5501391506,Industrials,Industrials,Airlines, 
SAVE,Spirit Airlines Inc.,Spirit Airlines,Airlines,"Spirit Airlines Inc is an airline company. The company provides air transportation for passengers. It's all all-Airbus fleet operates more than 385 daily flights to over 56 destinations in the United States, Caribbean and Latin America.",http://www.spirit.com,SAVE.png,Edward M. Christie,New York Stock Exchange,4265849417,Industrials,Industrials,Airlines, 
CPA,Copa Holdings S.A. Class A,Copa S.A.,Airlines,"Copa Holdings SA is engaged in investing in airlines and aviation-related companies. The Company through its subsidiaries provides international air transportation for passengers, cargo and mail services.",http://www.copaair.com,,Pedro Heilbron,New York Stock Exchange,4085352722,Industrials,Industrials,Airlines, 
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),Azul S.A. American Depositary Shares (each representing three preferred shares),Airlines,"Azul SA through its subsidiaries provides airline passenger and cargo services. The company's airlines flies to select international destinations, including Fort Lauderdale, Orlando, and Lisbon.",http://www.voeazul.com.br,AZUL.png,John Rodgerson,New York Stock Exchange,3496352049,Industrials,Industrials,Airlines, 
SKYW,SkyWest Inc.,SkyWest,Airlines,"SkyWest Inc offers scheduled passenger service to destinations in the United States, Canada, Mexico and the Caribbean. It helps to connect major airlines and large hubs to smaller outlying cities.",http://www.skywest.com,SKYW.png,Russell Childs,Nasdaq Global Select,2732549286,Industrials,Industrials,Airlines, 
ALGT,Allegiant Travel Company,Allegiant Travel Company,Airlines,"Allegiant Travel Co provides travel services in the United States. It sells air transportation on a stand-alone basis, or bundled with air-related and third-party services and products.",https://www.allegiant.com,ALGT.png,Maurice J. Gallagher,Nasdaq Global Select,2246699218,Industrials,Industrials,Airlines, 
HA,Hawaiian Holdings Inc.,Hawaiian,Airlines,"Hawaiian Holdings Inc provides air transportation for passengers and cargo. Routes are principally focused on transportation between the Hawaiian Islands, United States, and the South Pacific regions of Asia and Australia.",https://www.hawaiianairlines.com,HA.png,Peter R. Ingram,Nasdaq Global Select,1490503474,Industrials,Industrials,Airlines, 
VLRS,Controladora Vuela Compania de Aviacion S.A.B. de C.V. American Depositary Shares each representing ten (10) Ordinary Participation Certificates,Controladora Vuela Compania de Aviacion S.A.B. de C.V. American Depositary Shares each representing ten (10) Ordinary Participation Certificates,Airlines,Controladora Vuela Compania de Aviacion SAB de CV is an ultra-low-cost air carrier company. The company provides low-cost air transportation services in Mexico and the United States.,https://www.volaris.com,,Enrique Beltranena,New York Stock Exchange,775069225,Industrials,Industrials,Airlines, 
AVH,Avianca Holdings S.A. American Depositary Shares (Each representing 8 preferred Shares),Avianca S.A. American Depositary Shares (Each representing 8 preferred Shares),Airlines,Avianca Holdings SA is a Panamanian company that represents the integrated operation of several airlines that operate nationally and internationally.,http://www.aviancataca.com,,Hernan Rincon Lema,New York Stock Exchange,579498861,Industrials,Industrials,Airlines, 
MESA,Mesa Air Group Inc.,Mesa Air,Airlines,,http://www.mesa-air.com,MESA.png,Jonathan G. Ornstein,Nasdaq Global Select,226480006,Industrials,Industrials,Airlines, 
