ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
FMX,Fomento Economico Mexicano S.A.B. de C.V.,Fomento Economico Mexicano S.A.B. de C.V.,Beverages - Alcoholic,Fomento Economico Mexicano SAB de CV is a part of the beverage industry. Its business involves production and distribution of soft drinks.,http://www.femsa.com,FMX.png,Eduardo Padilla Silva,New York Stock Exchange,1.62E+11,Consumer Defensive,Consumer Defensive,Beverages - Brewers,Beverages - Alcoholic 
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),Anheuser-Busch Inbev SA Sponsored (Belgium),Beverages - Alcoholic,"Anheuser-Busch InBev SA/NV is engaged in the production, marketing, and distribution of beer and other malt beverage brands. Its brands includes Budweiser, Corona, Stella Artois, Beck's, Leffe, Hoegaarden, Castle Lager and others.",http://www.ab-inbev.com,BUD.png,Carlos Alves De Brito,New York Stock Exchange,1.51E+11,Consumer Defensive,Consumer Defensive,Beverages - Brewers,Beverages - Alcoholic 
DEO,Diageo plc,Diageo plc,Beverages - Alcoholic,"Diageo PLC is a part of the beverage industry. Its business involves the supply of alcoholic beverage under a collection of brands such as Johnnie Walker, Crown Royal, J&B, Buchanan's and Windsor whiskies, Smirnoff, Ciroc and Ketel One vodkas.",http://www.diageo.com,DEO.png,Ivan M. Menezes,New York Stock Exchange,92397655586,Consumer Defensive,Consumer Defensive,Beverages - Wineries & Distilleries,Beverages - Alcoholic 
ABEV,Ambev S.A. American Depositary Shares (Each representing 1),Ambev S.A. American Depositary Shares (Each representing 1),Beverages - Alcoholic,"Ambev SA produces, distributes and sells beer, CSDs and other non-alcoholic and non-carbonated products in countries across the Americas. The company operates in Latin America North, Latin America South and Canada.",http://www.ambev.com.br,ABEV.png,Bernardo Pinto Paiva,New York Stock Exchange,78133961470,Consumer Defensive,Consumer Defensive,Beverages - Brewers,Beverages - Alcoholic 
STZ,Constellation Brands Inc.,Constellation Brands,Beverages - Alcoholic,"Constellation Brands Inc is engaged in the beverage industry. Its core products are alcoholic drinks such as beers, wines and other spirits.",http://www.cbrands.com,STZ.png,Robert Sands,New York Stock Exchange,33065128712,Consumer Defensive,Consumer Defensive,Beverages - Wineries & Distilleries,Beverages - Alcoholic 
BF.A,Brown Forman Inc Class A,Brown Forman,Beverages - Alcoholic,"Brown-Forman Corp is a spirits and wine company. It manufactures, bottles, imports, exports, and markets a wide variety of alcoholic beverage brands.",http://www.brown-forman.com,BF.A.png,Lawson Whiting,New York Stock Exchange,22787714441,Consumer Defensive,Consumer Defensive,Beverages - Wineries & Distilleries,Beverages - Alcoholic 
TAP,Molson Coors Brewing Company Class B,Molson Coors Brewing Company B,Beverages - Alcoholic,"Molson Coors Brewing Co is engaged in brewing activities. It has a diverse portfolio of owned and partner brands, including core brands Carling, Coors Light, Molson Canadian and Staropramen, as well as craft and specialty beers such as Blue Moon.",http://www.molsoncoors.com,TAP.png,Mark R. Hunter,New York Stock Exchange,10899342018,Consumer Defensive,Consumer Defensive,Beverages - Brewers,Beverages - Alcoholic 
CCU,Compania Cervecerias Unidas S.A.,Compania Cervecerias Unidas S.A.,Beverages - Alcoholic,"United Breweries Co Inc is the largest producer of beer in Chile and the second- largest producer of beer in Argentina. The company also produces nonalcoholic beverages, wines, and spirits.",http://www.ccu.cl,CCU.png,Patricio Jottar,New York Stock Exchange,5272805983,Consumer Defensive,Consumer Defensive,Beverages - Brewers,Beverages - Alcoholic 
BF.B,Brown Forman Inc Class B,Brown Forman B,Beverages - Alcoholic,"Brown-Forman Corp is a spirits and wine company. It manufactures, bottles, imports, exports, and markets a wide variety of alcoholic beverage brands.",http://www.brown-forman.com,BF.B.png,Lawson Whiting,New York Stock Exchange,5006564413,Consumer Defensive,Consumer Defensive,Beverages - Wineries & Distilleries,Beverages - Alcoholic 
STZ.B,Constellation Brands Inc.,Constellation Brands,Beverages - Alcoholic,"Constellation Brands Inc is engaged in the beverage industry. Its core products are alcoholic drinks such as beers, wines and other spirits.",http://www.cbrands.com,STZ.B.png,Robert Sands,New York Stock Exchange,4044594423,Consumer Defensive,Consumer Defensive,Beverages - Wineries & Distilleries,Beverages - Alcoholic 
