ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
CBRE,CBRE Group Inc Class A,CBRE,Real Estate Services,"CBRE Group Inc is a commercial real estate services and investment firm. It offers services including facilities management, property management, transaction management and strategic consulting.",http://www.cbre.com,CBRE.png,Robert E. Sulentic,New York Stock Exchange,15864569255,Real Estate,Real Estate,Real Estate Services, 
CSGP,CoStar Group Inc.,CoStar,Real Estate Services,"CoStar Group Inc provides commercial real estate data covering over 4 million properties from various subsectors from commercial areas. It operates five flagship brands: CoStar, LoopNet, Apartments.com, BizBuySell, and LandsofAmerica.",http://www.costar.com,,Andrew C. Florance,Nasdaq Global Select,14512556724,Real Estate,Real Estate,Real Estate Services, 
BPY,Brookfield Property Partners L.P.,Brookfield Property Partners,Real Estate Services,"Brookfield Property Partners LP owns, operates, and invests in commercial properties in North America, Europe, Australia, and Brazil. Its operating segment includes Core Office, Core Retail, Opportunistic and Corporate Segments.",https://bpy.brookfield.com,BPY.png,Brian William Kingston,Nasdaq Global Select,7877357083,Real Estate,Real Estate,Real Estate Services, 
Z,Zillow Group Inc.,Zillow,Real Estate Services,"Zillow Group Inc provides real estate and home-related information marketplaces on mobile and web-based platforms. It helps customers on each stage of the home lifecycle such as renting, buying, selling, financing, and home improvement.",http://www.zillowgroup.com,Z.png,Spencer M. Rascoff,Nasdaq Global Select,7032333779,Real Estate,Real Estate,Real Estate Services, 
ZG,Zillow Group Inc.,Zillow,Real Estate Services,"Zillow Group Inc provides real estate and home-related information marketplaces on mobile and web-based platforms. It helps customers on each stage of the home lifecycle such as renting, buying, selling, financing, and home improvement.",http://www.zillowgroup.com,ZG.png,Spencer M. Rascoff,Nasdaq Global Select,7010992881,Real Estate,Real Estate,Real Estate Services, 
JLL,Jones Lang LaSalle Incorporated,Jones Lang LaSalle Incorporated,Real Estate Services,"Jones Lang LaSalle Inc provides a range of real estate-related services including leasing, property and project management, and capital markets advisory to owners, occupiers, and investors worldwide.",http://www.jll.com,JLL.png,Christian Ulbrich,New York Stock Exchange,6556571887,Real Estate,Real Estate,Real Estate Services, 
TPL,Texas Pacific Land Trust,Texas Pacific Land Trust,Real Estate Services,"Texas Pacific Land Trust is engaged in sale and leasing of land owned by it, retaining oil and gas royalties and the overall management of the land owned by it.",http://www.TPLTrust.com,TPL.png,Tyler Glover,New York Stock Exchange,5651206999,Real Estate,Real Estate,Real Estate - General,Real Estate Services 
HHC,The Howard Hughes Corporation,The Howard Hughes,Real Estate Services,The Howard Hughes Corp is a real estate company. It is in the development of master planned communities and other strategic real estate development opportunities across the United States.,http://www.howardhughes.com,HHC.png,David Weinreb,New York Stock Exchange,4760001720,Real Estate,Real Estate,Real Estate - General,Real Estate Services 
CWK,Cushman & Wakefield plc,Cushman & Wakefield plc,Real Estate Services,,http://www.cushmanwakefield.co.in,CWK.png,Brett White,New York Stock Exchange,3677121676,Real Estate,Real Estate,Real Estate Services, 
KW,Kennedy-Wilson Holdings Inc.,Kennedy-Wilson,Real Estate Services,"Kennedy-Wilson Holdings Inc is a global real estate investment company. It owns, operates and invests in real estate through investment management platform. It generates a majority of its revenue in the form of Rental income.",http://www.kennedywilson.com,,William McMorrow,New York Stock Exchange,2914121836,Real Estate,Real Estate,Real Estate Services, 
