ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
JCI,Johnson Controls International plc,Johnson Controls International plc,Engineering & Construction,"Johnson Controls International PLC manufacturers, installs, and services HVAC systems, building management systems and controls, and industrial refrigeration systems. The firm along with Tyco International offers fire and security products and services.",http://www.johnsoncontrols.com,JCI.png,George R. Oliver,New York Stock Exchange,30851234683,Industrials,Industrials,Engineering & Construction, 
JEC,Jacobs Engineering Group Inc.,Jacobs Engineering,Engineering & Construction,"Jacobs Engineering Group Inc is engaged in the engineering industry. The company provides technical, professional & construction services including engineering, design & architectural, construction management, operations & maintenance.",http://www.jacobs.com,JEC.png,Steven J. Demetriou,New York Stock Exchange,9557106874,Industrials,Industrials,Engineering & Construction, 
FLR,Fluor Corporation,Fluor,Engineering & Construction,"Fluor Corp is an engineering company that provides procurement, construction and maintenance as well as project management services to a range of customers including oil and gas, manufacturing, and mining companies, along with the U.S. federal government.",http://www.fluor.com,,David T. Seaton,New York Stock Exchange,5092197564,Industrials,Industrials,Engineering & Construction, 
PWR,Quanta Services Inc.,Quanta Services,Engineering & Construction,Quanta Services Inc is a provider of specialty contracting services. The company offers infrastructure solutions to the electric power and oil and gas industries in North America and in select international markets.,http://www.quantaservices.com,PWR.png,Earl C. Austin,New York Stock Exchange,5032218680,Industrials,Industrials,Engineering & Construction, 
ACM,AECOM,AECOM,Engineering & Construction,"AECOM provides consulting and engineering services to clients in transportation, facilities, environmental, and other markets. It mainly designs, builds, and operates infrastructure projects for governments, businesses, and organizations.",http://www.aecom.com,ACM.png,Michael S. Burke,New York Stock Exchange,4850975102,Industrials,Industrials,Engineering & Construction, 
EME,EMCOR Group Inc.,EMCOR,Engineering & Construction,"EMCOR Group Inc an electrical and mechanical construction and facilities services firms. It services include installation of electrical distribution systems, voice and data communication systems, and environmental controls within buildings.",http://www.emcorgroup.com,EME.png,Anthony J. Guzzi,New York Stock Exchange,3751769860,Industrials,Industrials,Engineering & Construction, 
MTZ,MasTec Inc.,MasTec,Engineering & Construction,"MasTec Inc is an infrastructure construction company engaged in engineering, building, installation, maintenance and upgrade of communications, energy and utility infrastructure. The company offers its services under the MasTec service mark.",http://www.mastec.com,MTZ.png,Jose R. Mas,New York Stock Exchange,3365877310,Industrials,Industrials,Engineering & Construction, 
TTEK,Tetra Tech Inc.,Tetra Tech,Engineering & Construction,Tetra Tech Inc provides consulting and engineering services to various industries. The company specializes in providing water-related services for public and private clients. It offers services from planning and forecasting to execution and maintenance.,http://www.tetratech.com,,Dan L. Batrack,Nasdaq Global Select,3045887502,Industrials,Industrials,Engineering & Construction, 
STN,Stantec Inc,Stantec,Engineering & Construction,"Stantec Inc provides professional services in the area of infrastructure and facilities for clients in the public and private sectors. The company's services include planning, engineering, architecture, interior design, surveying and project management.",http://www.stantec.com,STN.png,Gordon A. Johnston,New York Stock Exchange,2666744903,Industrials,Industrials,Engineering & Construction, 
KBR,KBR Inc.,KBR,Engineering & Construction,"KBR Inc is an engineering, construction and services company supporting the hydrocarbons and international government services market sectors.",http://www.kbr.com,KBR.png,Stuart J. B. Bradie,New York Stock Exchange,2470997805,Industrials,Industrials,Engineering & Construction, 
