ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
FAST,Fastenal Company,Fastenal Company,Industrial Distribution,"Fastenal Co is an industrial supplies company. It distributes maintains, repairs, and operates supplies to industrial and construction customers. Its product portfolio includes OEM fasteners, safety products, tools and equipment.",http://www.fastenal.com,FAST.png,Daniel L. Florness,Nasdaq Global Select,17560095865,Industrials,Industrials,Industrial Distribution, 
GWW,W.W. Grainger Inc.,W.W. Grainger,Industrial Distribution,"W.W. Grainger Inc is a broad line, a business-to-business distributor of maintenance, repair and operating (MRO) supplies and other related products and services. Its services consist of contact centers, catalogs, inventory management solution and others.",http://www.grainger.com,GWW.png,Donald G. Macpherson,New York Stock Exchange,16681059320,Industrials,Industrials,Industrial Distribution, 
HDS,HD Supply Holdings Inc.,HD Supply,Industrial Distribution,"HD Supply Holdings Inc is an industrial distributor. It provides a broad range of products and value-added services to customers in various sectors such as maintenance, repair and operations, infrastructure and power and specialty construction.",http://www.hdsupply.com,HDS.png,Joseph J. Deangelo,Nasdaq Global Select,7509212713,Industrials,Industrials,Industrial Distribution, 
MSM,MSC Industrial Direct Company Inc.,MSC Industrial Direct Company,Industrial Distribution,"MSC Industrial Direct Co Inc distributes maintenance, repair and operating supplies to an industrial-oriented customer base.",http://www.mscdirect.com,MSM.png,Erik Gershwind,New York Stock Exchange,4632539192,Industrials,Industrials,Industrial Distribution, 
WCC,WESCO International Inc.,WESCO International,Industrial Distribution,"WESCO International Inc is a distributor of electrical, industrial and communications maintenance, repair and operating and original equipment manufacturer products, construction materials, and advanced supply chain management and logistics services.",http://www.wescodist.com,,John J. Engel,New York Stock Exchange,2514310781,Industrials,Industrials,Industrial Distribution, 
AIT,Applied Industrial Technologies Inc.,Applied Industrial,Industrial Distribution,"Applied Industrial Technologies Inc is an industrial distributor in North America, Australia, and New Zealand, serving MRO (maintenance, repair, and operations) and OEM (original equipment manufacturing) customers in diversified industries.",http://www.applied.com,AIT.png,Neil A. Schrimsher,New York Stock Exchange,2268994243,Industrials,Industrials,Industrial Distribution, 
SITE,SiteOne Landscape Supply Inc.,SiteOne Landscape Supply,Industrial Distribution,"SiteOne Landscape Supply Inc is one of the largest suppliers of tools and equipment. The company serves various business areas which include the wholesale irrigation, outdoor lighting, nursery, landscape supplies, grass seeds, and fertilizers.",http://www.siteone.com,SITE.png,Doug Black,New York Stock Exchange,2103416465,Industrials,Industrials,Industrial Distribution, 
AXE,Anixter International Inc.,Anixter International,Industrial Distribution,"Anixter International Inc is a value-added distributor of communications and security, electrical wire, and cable products and fasteners.",http://www.anixter.com,AXE.png,William A. Galvin,New York Stock Exchange,2039714058,Industrials,Industrials,Industrial Distribution, 
WAIR,Wesco Aircraft Holdings Inc.,Wesco Aircraft,Industrial Distribution,"Wesco Aircraft Holdings Inc distributes & supplies supply chain management services to aerospace industry. It offers services including traditional distribution to the management of supplier relationships, JIT delivery & point-of-use inventory management.",https://www.wescoair.com,WAIR.png,Todd S. Renehan,New York Stock Exchange,790036202,Industrials,Industrials,Industrial Distribution, 
DXPE,DXP Enterprises Inc.,DXP Enterprises,Industrial Distribution,"DXP Enterprises Inc is engaged in the business of distributing, maintenance, repair and operating products, and service to industrial customers.",http://www.dxpe.com,,David R. Little,Nasdaq Global Select,572614513,Industrials,Industrials,Industrial Distribution, 
TITN,Titan Machinery Inc.,Titan Machinery,Industrial Distribution,"Titan Machinery Inc is engaged in retail sale, service and rental of agricultural and construction machinery. It sells and repairs agricultural equipment, including machinery and attachments for large-scale farming and home and gardening purposes.",http://www.titanmachinery.com,,David J. Meyer,Nasdaq Global Select,429921938,Industrials,Industrials,Industrial Distribution, 
PKOH,Park-Ohio Holdings Corp.,Park-Ohio,Industrial Distribution,"Park-Ohio Holdings Corp is a United States based company, engaged in industrial supply chain logistics and diversified manufacturing business. It operates in three business segment namely Supply Technologies, Assembly Components and Engineered Products.",http://www.pkoh.com,,Matthew V. Crawford,Nasdaq Global Select,415598184,Industrials,Industrials,Industrial Distribution, 
FBM,Foundation Building Materials Inc.,Foundation Building Materials,Industrial Distribution,Foundation Building Materials Inc is a specialty distributor of wallboard and suspended ceiling systems in the United States and Canada. The company operates through Specialty Building Products and Mechanical Insulation segments.,http://www.fbmsales.com,FBM.png,Ruben Mendoza,New York Stock Exchange,399352124,Industrials,Industrials,Industrial Distribution, 
