ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
IP,International Paper Company,International Paper Company,Packaging & Containers,"International Paper Co produces and distributes printing paper, packaging, forest products, and chemical products. The company operates in three segments namely; Industrial Packaging, Printing Papers, and Global Cellulose Fibers.",http://www.internationalpaper.com,IP.png,Mark S. Sutton,New York Stock Exchange,18801421577,Consumer Cyclical,Consumer Cyclical,Packaging & Containers, 
BLL,Ball Corporation,Ball,Packaging & Containers,Ball Corp is the world's largest metal can manufacturer. The company primarily serves the North American food can market with its packaging products and the US defense industry by offering various components used in the space mission.,http://www.ball.com,BLL.png,John A. Hayes,New York Stock Exchange,17631158940,Consumer Cyclical,Consumer Cyclical,Packaging & Containers, 
WRK,Westrock Company,Westrock Company,Packaging & Containers,"WestRock Co provides paper and packaging solutions in consumer and corrugated markets. The Company offers corrugated container, paperboard, partitions and protective packaging, containerboard and beverage multipacks.",http://www.westrock.com,WRK.png,,New York Stock Exchange,9698552385,Consumer Cyclical,Consumer Cyclical,Packaging & Containers, 
PKG,Packaging Corporation of America,Packaging of America,Packaging & Containers,"Packaging Corp of America is a producer of container board and corrugated products in the US. Further, it also produces multi-color boxes and displays, as well as meat boxes and wax-coated boxes for the agricultural industry.",http://www.packagingcorp.com,PKG.png,Mark W. Kowlzan,New York Stock Exchange,8955508931,Consumer Cyclical,Consumer Cyclical,Packaging & Containers, 
CCK,Crown Holdings Inc.,Crown,Packaging & Containers,"Crown Holdings Inc is one of the world's largest producer of metal packaging products. The company manufactures beverage cans, metal food cans, and closures as well as aerosol cans. It operates mainly in US and Europe.",http://www.crowncork.com,CCK.png,Timothy J. Donahue,New York Stock Exchange,6885235205,Consumer Cyclical,Consumer Cyclical,Packaging & Containers, 
BERY,Berry Global Group Inc.,Berry Global,Packaging & Containers,"Berry Global Group Inc is a plastics packaging products manufacturing company. It operates three segments and sells containers, plastic drink cups, printed bags for food products, and baby diapers, feminine hygiene products, tapes, and plastic films.",http://www.berryglobal.com,BERY.png,Thomas E. Salmon,New York Stock Exchange,6438088383,Consumer Cyclical,Consumer Cyclical,Packaging & Containers, 
SEE,Sealed Air Corporation,Sealed Air,Packaging & Containers,"Sealed Air Corp is engaged in three reporting segments, Food care, Diversey Care and Product care. It mainly provides cleaning, sanitation, and housekeeping solutions to the food service industry.",http://www.sealedair.com,SEE.png,Edward L. Doheny,New York Stock Exchange,6372729286,Consumer Cyclical,Consumer Cyclical,Packaging & Containers, 
ATR,AptarGroup Inc.,AptarGroup,Packaging & Containers,"AptarGroup, Inc. is a solution provider of packaging delivery solutions for the beauty, personal care, home care, prescription drug, consumer health care, injectables, food and beverage markets.",http://www.aptar.com,ATR.png,Stephan Tanda,New York Stock Exchange,6271984690,Consumer Cyclical,Consumer Cyclical,Packaging & Containers, 
SON,Sonoco Products Company,Sonoco Products Company,Packaging & Containers,"Sonoco Products Co is a manufacturer of industrial and consumer packaging products and provides packaging services. It operates in Consumer Packaging, Paper and Industrial Converted Products, Display and Packaging, and Protective Solutions segments.",http://www.sonoco.com,SON.png,Robert C. Tiede,New York Stock Exchange,5779944865,Consumer Cyclical,Consumer Cyclical,Packaging & Containers, 
BMS,Bemis Company Inc.,Bemis Company,Packaging & Containers,Bemis Co Inc operates in the packaging industry. The company engages in the manufacture of packaging and pressure sensitive materials. Majority of the products are sold to the food industry. The United States packaging segment generates maximum revenue.,http://www.bemis.com,BMS.png,William F. Austen,New York Stock Exchange,4496310000,Consumer Cyclical,Consumer Cyclical,Packaging & Containers, 
