ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
VST,Vistra Energy Corp.,Vistra Energy,Utilities - Independent Power Producers,"Vistra Energy Corp through its subsidiaries is in electricity market activities including power generation, wholesale energy sales and purchases, commodity risk management and retail sales of electricity to end users.",http://www.vistraenergy.com,VST.png,Curtis Morgan,New York Stock Exchange,12206581012,Utilities,Utilities,Utilities - Independent Power Producers, 
NRG,NRG Energy Inc.,NRG Energy,Utilities - Independent Power Producers,"NRG Energy Inc is engaged in the utilities sector. Its primary business involves operation of power generation facilities, trading of energy, capacity and related products, transacting in and trading of fuel & transportation services.",http://www.nrg.com,NRG.png,Mauricio Gutierrez,New York Stock Exchange,11898728185,Utilities,Utilities,Utilities - Independent Power Producers, 
HNP,Huaneng Power Intl,Huaneng Power Intl,Utilities - Independent Power Producers,"Huaneng Power International Inc is an independent power producer. The company is engaged in developing, constructing, operating and managing power plants throughout China.",http://www.hpi.com.cn,HNP.png,,New York Stock Exchange,9803459278,Utilities,Utilities,Utilities - Diversified,Utilities - Regulated 
AQN,Algonquin Power & Utilities Corp.,Algonquin Power & Utilities,Utilities - Independent Power Producers,"Algonquin Power & Utilities Corp is a renewable energy and regulated utility company. It is engages in hydroelectric, wind, thermal and solar power facilities, and sustainable utility distribution businesses.",http://www.algonquinpower.com,AQN.png,Ian E. Robertson,New York Stock Exchange,5406696849,Utilities,Utilities,Utilities - Independent Power Producers, 
BEP,Brookfield Renewable Partners L.P.,Brookfield Renewable Partners,Utilities - Independent Power Producers,"Brookfield Renewable Partners LP is a renewable power generating company. It portfolio of renewable power generating facilities is spread across North America, Colombia, Brazil, Europe, and other countries.",https://renewableops.brookfield.com,BEP.png,Sachin Shah,New York Stock Exchange,5173297432,Utilities,Utilities,Utilities - Independent Power Producers, 
ORA,Ormat Technologies Inc.,Ormat,Utilities - Independent Power Producers,"Ormat Technologies Inc is engaged in the geothermal and recovered energy power business. It designs, develops, builds, sells, owns, and operates clean, environmentally friendly geothermal and recovered energy-based power plants.",http://www.ormat.com,ORA.png,Isaac Angel,New York Stock Exchange,2887826915,Utilities,Utilities,Utilities - Independent Power Producers, 
TERP,TerraForm Power Inc.,TerraForm Power,Utilities - Independent Power Producers,TerraForm Power Inc owns and operates portfolio of solar and wind assets located primarily in the United States and underpinned by long-term contracts.,http://www.terraformpower.com,,John Stinebaugh,Nasdaq Global Select,2513883474,Utilities,Utilities,Utilities - Independent Power Producers, 
NEP,NextEra Energy Partners LP representing limited partner interests,NextEra Energy Partners representing limited partner interests,Utilities - Independent Power Producers,"NextEra Energy Partners LP is a limited partnership formed to acquire, manage and own contracted clean energy projects with stable long-term cash flows. The renewable energy sales generate maximum revenue for the company.",http://www.nexteraenergypartners.com,NEP.png,James L. Robo,New York Stock Exchange,2314125000,Utilities,Utilities,Utilities - Independent Power Producers, 
PEGI,Pattern Energy Group Inc.,Pattern Energy,Utilities - Independent Power Producers,Pattern Energy Group Inc is a power generation company based in the United States. It produces and sells electricity mainly in the United States and in Canada and Chile.,http://www.patternenergy.com,PEGI.png,,Nasdaq Global Select,2059345689,Utilities,Utilities,Utilities - Independent Power Producers, 
TAC,TransAlta Corporation,TransAlta,Utilities - Independent Power Producers,"TransAlta Corp is engaged in the production and sale of electric energy in Alberta, Canada. It also has an energy trading and marketing business as well as it owns transmission lines and coal mines.",http://www.transalta.com,TAC.png,Dawn L. Farrell,New York Stock Exchange,1592272186,Utilities,Utilities,Utilities - Independent Power Producers, 
BE,Bloom Energy Corporation Class A,Bloom Energy,Utilities - Independent Power Producers,,http://www.bloomenergy.com,BE.png,KR Sridhar,New York Stock Exchange,1177321142,Utilities,Utilities,Utilities - Independent Power Producers, 
AT,Atlantic Power Corporation (Canada),Atlantic Power (Canada),Utilities - Independent Power Producers,Atlantic Power Corp is an independent electric power producer company that owns and operates a diverse fleet of power generation assets in the United States and Canada.,http://www.atlanticpower.com,AT.png,James J. Moore,New York Stock Exchange,268687510,Utilities,Utilities,Utilities - Independent Power Producers, 
ELLO,Ellomay Capital Ltd (Israel),Ellomay Capital (Israel),Utilities - Independent Power Producers,Ellomay Capital Ltd is engaged in the business of energy and infrastructure and its operations include production of renewable and clean energy.,http://www.ellomay.com,,Ran Fridrich,NYSE American,92983675,Utilities,Utilities,Utilities - Independent Power Producers, 
FCEL,FuelCell Energy Inc.,FuelCell Energy,Utilities - Independent Power Producers,"FuelCell Energy Inc is an integrated fuel cell company. It designs, manufactures, sells, installs, operates and services ultra-clean, efficient stationary fuel cell power plants for distributed power generation.",http://www.fuelcellenergy.com,FCEL.png,Arthur Bottone,NASDAQ Global Market,49767602,Utilities,Utilities,Utilities - Independent Power Producers, 
SKYS,Sky Solar Holdings Ltd.,Sky Solar,Utilities - Independent Power Producers,"Sky Solar Holdings Ltd develops, owns and operates solar parks and sells electricity. Its geographic operations include Greece, Canada, Bulgaria, Germany, Czech, Japan, Spain, Italy, and Uruguay.",http://www.skysolarholdings.com,,Hao Wu,NASDAQ Capital Market,29955621,Utilities,Utilities,Utilities - Independent Power Producers, 
