ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
AMGN,Amgen Inc.,Amgen,Biotechnology,"Amgen Inc is a U.S. based biotechnology company, with historical expertise in renal disease and cancer supportive care products. The firm discovers, develops, manufactures and delivers human therapeutics.",http://www.amgen.com,AMGN.png,Robert A. Bradway,Nasdaq Global Select,1.19E+11,Healthcare,Healthcare,Biotechnology, 
NVO,Novo Nordisk A/S,Novo Nordisk A/S,Biotechnology,"Novo Nordisk A/S is a healthcare company. It is engaged in the discovery, development, manufacturing and marketing of pharmaceutical products. The company's business segments include, diabetes and obesity care, and biopharmaceuticals.",http://www.novonordisk.com,NVO.png,Lars Fruergaard Jorgensen,New York Stock Exchange,1.17E+11,Healthcare,Healthcare,Biotechnology, 
GILD,Gilead Sciences Inc.,Gilead Sciences,Biotechnology,"Gilead Sciences Inc is a biopharmaceutical company that discovers, develops and commercializes new medicines in areas of unmet medical need. Its products target a number of areas, such as HIV, liver diseases, cardiovascular and other diseases.",http://www.gilead.com,GILD.png,,Nasdaq Global Select,90618053821,Healthcare,Healthcare,Biotechnology, 
BIIB,Biogen Inc.,Biogen,Biotechnology,"Biogen Inc is a biopharmaceutical company. It is engaged in discovering, developing, manufacturing and delivering therapies to patients for the treatment of neurological, rare and autoimmune diseases.",http://www.biogen.com,BIIB.png,Michel Vounatsos,Nasdaq Global Select,67309290512,Healthcare,Healthcare,Biotechnology, 
CELG,Celgene Corporation,Celgene,Biotechnology,"Celgene Corp is a biotech company that discovers, develops, and commercializes therapies designed to treat cancer and immune-inflammatory related diseases. Its registered brands are Abraxane, Istodax, Otezla, Pomalyst, Revlimid, Thalomid, Vidaza.",http://www.celgene.com,CELG.png,Mark J. Alles,Nasdaq Global Select,61319908038,Healthcare,Healthcare,Biotechnology, 
VRTX,Vertex Pharmaceuticals Incorporated,Vertex Pharmaceuticals Incorporated,Biotechnology,"Vertex Pharmaceuticals Inc is engaged in the business of discovering, developing, manufacturing and commercializing small molecule drugs for patients with serious diseases in specialty markets. Its products include SYMDEKO, ORKAMBI, and KALYDECO.",http://www.vrtx.com,VRTX.png,Jeffrey M Leiden,Nasdaq Global Select,47837908572,Healthcare,Healthcare,Biotechnology, 
REGN,Regeneron Pharmaceuticals Inc.,Regeneron Pharmaceuticals,Biotechnology,"Regeneron Pharmaceuticals Inc is an integrated biopharmaceutical company. It discovers, invents, develops, manufactures, and commercializes medicines for the treatment of serious medical conditions.",http://www.regeneron.com,REGN.png,Leonard S. Schleifer,Nasdaq Global Select,46033783588,Healthcare,Healthcare,Biotechnology, 
ALXN,Alexion Pharmaceuticals Inc.,Alexion Pharmaceuticals,Biotechnology,Alexion Pharmaceuticals Inc is a biopharmaceutical company. It is engaged in serving patients with severe and ultra-rare disorders through the development and commercialization of life-transforming therapeutic products.,http://www.alexion.com,ALXN.png,Ludwig N. Hantson,Nasdaq Global Select,27608208210,Healthcare,Healthcare,Biotechnology, 
BMRN,BioMarin Pharmaceutical Inc.,BioMarin Pharmaceutical,Biotechnology,Biomarin Pharmaceutical Inc is on rare-disease therapies. It develops and commercializes pharmaceuticals for serious diseases and medical conditions.,http://www.bmrn.com,BMRN.png,Jean-Jacques Bienaime,Nasdaq Global Select,17521311230,Healthcare,Healthcare,Biotechnology, 
INCY,Incyte Corporation,Incyte,Biotechnology,"Incyte Corp is a biopharmaceutical company. It discovers, develops and commercializes proprietary therapeutics. Its product JAKAFI, a JAK1 and JAK2 inhibitor is used for treatment of patients with intermediate or high risk myelofibrosis.",http://www.incyte.com,INCY.png,Herve Hoppenot,Nasdaq Global Select,17365144877,Healthcare,Healthcare,Biotechnology, 
