ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
BHP,BHP Group Limited American Depositary Shares (Each representing two),BHP Limited American Depositary Shares (Each representing two),Metals & Mining,"BHP Billiton Ltd is a natural resources company. It is engaged in producing commodities, including iron ore, metallurgical and energy coal, conventional and unconventional oil and gas, copper, aluminium, manganese, uranium, nickel and silver.",https://www.bhp.com,BHP.png,Andrew Mackenzie,New York Stock Exchange,1.29E+11,Basic Materials,Basic Materials,Industrial Metals & Minerals,Metals & Mining 
BBL,BHP Group PlcSponsored ADR,BHP PlcSponsored,Metals & Mining,"BHP Billiton PLC is a producer of major commodities. The company's operations involved exploration, development and production of oil and gas, mining of copper, iron ore, and metallurgical coal and thermal (energy) coal.",http://www.bhpbilliton.com,BBL.png,Andrew Mackenzie,New York Stock Exchange,1.14E+11,Basic Materials,Basic Materials,Industrial Metals & Minerals,Metals & Mining 
RIO,Rio Tinto Plc,Rio Tinto Plc,Metals & Mining,"Rio Tinto PLC is a mining and exploration company. It discovers, mines, processes and supplies metals and minerals used in everyday modern life. Its main products include Bauxite, Alumina, Copper, Gold, Molybdenum, Silver, Nickel, and Diamonds.",http://www.riotinto.com,RIO.png,Jean-Sebastien Jacques,New York Stock Exchange,96242582821,Basic Materials,Basic Materials,Industrial Metals & Minerals,Metals & Mining 
VALE,VALE S.A. American Depositary Shares Each Representing one,VALE S.A. American Depositary Shares Each Representing one,Metals & Mining,"Vale SA is a metals and mining company. It produces and supplies iron ore, iron ore pellets, nickel, manganese ore, ferroalloys, copper, coal, phosphates, potash, cobalt and others.",http://www.vale.com,VALE.png,Fabio Schvartsman,New York Stock Exchange,62249166156,Basic Materials,Basic Materials,Industrial Metals & Minerals,Metals & Mining 
SCCO,Southern Copper Corporation,Southern Copper,Metals & Mining,"Southern Copper Corp is a metal producer having its focus on copper. Its segments include Peruvian operations, Mexican open-pit operations and Mexican underground mining operations.",http://www.southerncoppercorp.com,SCCO.png,Oscar Gonzalez Rocha,New York Stock Exchange,26469042619,Basic Materials,Basic Materials,Copper,Metals & Mining 
GOLD,Barrick Gold Corporation (BC),Barrick Gold (BC),Metals & Mining,"Barrick Gold Corp is engaged in the production and sale of gold and copper, as well as related activities such as exploration and mine development. Its mining projects are located in North America, South America, Australia, and Africa.",http://www.barrick.com,GOLD.png,Mark Bristow,New York Stock Exchange,23382739775,Basic Materials,Basic Materials,Gold,Metals & Mining 
NEM,Newmont Mining Corporation,Newmont Mining,Metals & Mining,"Newmont Mining Corp is engaged in the production of gold in the United States, Australia, Peru, Ghana and Suriname. It is also engaged in the production of copper, principally through Boddington in Australia and Phoenix in the United States.",http://www.newmont.com,NEM.png,Gary J. Goldberg,New York Stock Exchange,18110549990,Basic Materials,Basic Materials,Gold,Metals & Mining 
FCX,Freeport-McMoRan Inc.,Freeport-McMoRan,Metals & Mining,"Freeport-McMoRan Inc is a mining company. It operates large, long-lived geographically diverse assets with reserves of copper, gold, and molybdenum. It also has mining operations in the Americas.",http://www.fcx.com,FCX.png,Richard C. Adkerson,New York Stock Exchange,17185539255,Basic Materials,Basic Materials,Copper,Metals & Mining 
FNV,Franco-Nevada Corporation,Franco-Nevada,Metals & Mining,"Franco-Nevada Corp is a gold royalty and stream company. It is also engaged in silver, platinum group metals, oil & gas and others. Its portfolio includes approximately 340 mineral and oil & gas assets covering properties from production to exploration.",http://www.franco-nevada.com,FNV.png,David Harquail,New York Stock Exchange,14352917939,Basic Materials,Basic Materials,Gold,Metals & Mining 
TECK,Teck Resources Ltd,Teck Resources,Metals & Mining,"Teck Resources Ltd is a mining company whose activities include exploration, development, processing, smelting, refining and reclamation. It has operations in Canada, United States, Chile and Peru. The company's products are coal, copper, zinc and lead.",http://www.teck.com,TECK.png,Donald R. Lindsay,New York Stock Exchange,13352589112,Basic Materials,Basic Materials,Industrial Metals & Minerals,Metals & Mining 
AEM,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,Metals & Mining,"Agnico Eagle Mines Ltd is a Canadian gold mining company. Its mining properties are located in Canada, Finland and Mexico as well as in United States and Sweden.",http://www.agnicoeagle.com,AEM.png,Sean Boyd,New York Stock Exchange,10232390144,Basic Materials,Basic Materials,Gold,Metals & Mining 
GG,Goldcorp Inc.,Goldcorp,Metals & Mining,"Goldcorp Inc is gold mining company. It is engaged in the operation, exploration, development, and acquisition of precious metal properties in Canada, the United States, Mexico, and Central and South America.",http://www.goldcorp.com,GG.png,David Garofalo,New York Stock Exchange,9638263955,Basic Materials,Basic Materials,Gold,Metals & Mining 
WPM,Wheaton Precious Metals Corp (Canada),Wheaton Precious Metals (Canada),Metals & Mining,Wheaton Precious Metals Corp is pure precious metals streaming company. Its portfolio includes Hudbay's Constancia project and Vale's Salobo and Sudbury mines.,http://www.wheatonpm.com,WPM.png,Randy V.J. Smallwood,New York Stock Exchange,9451034398,Basic Materials,Basic Materials,Silver,Metals & Mining 
VEDL,Vedanta Limited American Depositary Shares (Each representing four equity shares),Vedanta Limited American Depositary Shares (Each representing four equity shares),Metals & Mining,"Vedanta Ltd along with its subsidiaries is a diversified natural resource company engaged iron ore mining, non-ferrous metals (copper and aluminium production) and commercial power generation.",http://www.vedantalimited.com,VEDL.png,Kuldip Kaura,New York Stock Exchange,8517026792,Basic Materials,Basic Materials,Industrial Metals & Minerals,Metals & Mining 
KL,Kirkland Lake Gold Ltd.,Kirkland Lake Gold,Metals & Mining,Kirkland Lake Gold Ltd is a Canada-based gold producer. The company operates in one segment consisting of a mining and milling operation. The principal product from the mining operations of the company is the sale of gold dore bars.,http://www.klgold.com,KL.png,Anthony Makuch,New York Stock Exchange,6828563107,Basic Materials,Basic Materials,Gold,Metals & Mining 
RGLD,Royal Gold Inc.,Royal Gold,Metals & Mining,"Royal Gold Inc manages precious metal royalties and streams, with a focus on gold. The company seeks to acquire existing stream and royalty interests or to finance projects that are in production or in the development stage.",http://www.royalgold.com,RGLD.png,Tony A. Jensen,Nasdaq Global Select,5696673771,Basic Materials,Basic Materials,Gold,Metals & Mining 
ACH,Aluminum Corporation of China Limited American Depositary Shares,Aluminum of China Limited American Depositary Shares,Metals & Mining,"Aluminum Corporation of China Ltd is one of the world's leading producer of aluminum. The company has operations across every phase of upstream aluminum production--bauxite mining, alumina refining and primary aluminum smelting.",http://www.chalco.com.cn,ACH.png,,New York Stock Exchange,5627674210,Basic Materials,Basic Materials,Aluminum,Metals & Mining 
AU,AngloGold Ashanti Limited,AngloGold Ashanti Limited,Metals & Mining,Anglogold Ashanti Ltd is a gold mining company. The firm conducts its mining activities at various sites that are across the world.,http://www.anglogold.com,,Srinivasan Venkatakrishnan,New York Stock Exchange,5602029970,Basic Materials,Basic Materials,Gold,Metals & Mining 
AA,Alcoa Corporation,Alcoa,Metals & Mining,Alcoa Corp is an integrated aluminum company. The company engages in aluminum production from bauxite mining to manufactures finished aluminum goods. It serves finished aluminum goods to a wide-variety of industrial end markets.,http://www.alcoa.com,AA.png,Roy Christopher Harvey,New York Stock Exchange,5374966543,Basic Materials,Basic Materials,Aluminum,Metals & Mining 
CCJ,Cameco Corporation,Cameco,Metals & Mining,"Cameco Corp is engaged in the exploration and the development, mining, refining, conversion, fabrication and trading of uranium for sale as fuel for generating electricity in nuclear power reactors in Canada and other countries.",http://www.cameco.com,CCJ.png,Timothy S. Gitzel,New York Stock Exchange,5058231115,Basic Materials,Basic Materials,Industrial Metals & Minerals,Metals & Mining 
KGC,Kinross Gold Corporation,Kinross Gold,Metals & Mining,"Kinross Gold Corp is gold mining company. Its mining activities include exploration and acquisition of gold-bearing properties, extraction and processing of gold-containing ore and reclamation of gold mining properties.",http://www.kinross.com,KGC.png,J. Paul Rollinson,New York Stock Exchange,4182015406,Basic Materials,Basic Materials,Gold,Metals & Mining 
BVN,Buenaventura Mining Company Inc.,Buenaventura Mining Company,Metals & Mining,"Buenaventura Mining Co Inc is a mining firm in Peru. Its business involves exploring for, mining, and processing gold and silver.",http://www.buenaventura.com,BVN.png,Víctor Gobitz,New York Stock Exchange,3995213418,Basic Materials,Basic Materials,Industrial Metals & Minerals,Metals & Mining 
TRQ,Turquoise Hill Resources Ltd.,Turquoise Hill Resources,Metals & Mining,"Turquoise Hill Resources Ltd is a mining company engaged in the operation and further development of the Oyu Tolgoi copper-gold mine in southern Mongolia, which is the Company's principal and only material mineral resource property.",http://www.turquoisehill.com,,Jeffery D. Tygesen,New York Stock Exchange,3350503591,Basic Materials,Basic Materials,Copper,Metals & Mining 
GFI,Gold Fields Limited American Depositary Shares,Gold Fields Limited American Depositary Shares,Metals & Mining,"Gold Fields Ltd is engaged in underground and surface gold and copper mining and related activities, including exploration, development, extraction, processing and smelting. It operates in South Africa, Australia, Ghana, and Peru.",http://www.goldfields.com,GFI.png,Nicholas Holland,New York Stock Exchange,3183983162,Basic Materials,Basic Materials,Gold,Metals & Mining 
CLF,Cleveland-Cliffs Inc.,Cleveland-Cliffs,Metals & Mining,"Cleveland-Cliffs Inc, formerly Cliffs Natural Resources Inc is an iron ore producer. The company operates mining properties in North America, United States, Canada and Australia. It also owns a large chromite project in Canada.",http://www.clevelandcliffs.com,CLF.png,C. Lourenco Goncalves,New York Stock Exchange,3164955843,Basic Materials,Basic Materials,Industrial Metals & Minerals,Metals & Mining 
BTG,B2Gold Corp (Canada),B2Gold (Canada),Metals & Mining,"B2Gold Corp is a Vancouver-based gold producer with five operating mines, one in Mali, one inNamibia, one in the Philippines and two in Nicaragua and a portfolio of other evaluation and exploration assets.",http://www.b2gold.com,BTG.png,Clive Johnson,NYSE American,3103220381,Basic Materials,Basic Materials,Gold,Metals & Mining 
AUY,Yamana Gold Inc. (Canada),Yamana Gold (Canada),Metals & Mining,"Yamana Gold Inc is a Canada-based gold miner operating a portfolio of mines in Brazil, Chile, Argentina, and Mexico. The company also holds stakes in the Alumbrera mine and Canadian Malartic mine.",http://www.yamana.com,AUY.png,Peter Marrone,New York Stock Exchange,2620183451,Basic Materials,Basic Materials,Gold,Metals & Mining 
PAAS,Pan American Silver Corp.,Pan American Silver,Metals & Mining,"Pan American Silver Corp produces various kinds of metals. It is engaged in the production and sale of silver, gold and base metals including copper, lead and zinc.",http://www.panamericansilver.com,PAAS.png,Michael Steinmann,Nasdaq Global Select,2266432218,Basic Materials,Basic Materials,Silver,Metals & Mining 
